7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697372700, +3.49, +29.536, +1475.5, +1369.0,  +200.0,  +136.0
1697373300, +3.49, +29.455, +1293.1, +1372.0,  +198.0,  +141.0
1697373900, +3.49, +29.414,  +524.0, +1368.0,  +200.0,  +134.0
1697374500, +3.49, +29.308, +1470.6, +1371.0,  +200.0,  +135.0
1697375100, +3.49, +29.227,  +473.3, +1372.0,  +204.0,  +135.0
1697375700, +3.49, +29.105, +1164.4, +1369.0,  +198.0,  +143.0
1697376300, +3.49, +29.015,  +346.6, +1372.0,  +200.0,  +140.0
1697376900, +3.49, +28.917,  +733.5, +1371.0,  +200.0,  +142.0
1697377500, +3.49, +28.836,  +821.1, +1372.0,  +198.0,  +142.0
1697378100, +3.49, +28.770,  +602.7, +1369.0,  +200.0,  +145.0
1697378700, +3.49, +28.721,  +492.3, +1372.0,  +198.0,  +145.0
1697379300, +3.49, +28.705,  +539.3, +1375.0,  +200.0,  +145.0
1697379900, +3.49, +28.681,  +699.7, +1372.0,  +203.0,  +142.0
1697380500, +3.49, +28.664,  +493.4, +1372.0,  +199.0,  +144.0
1697381100, +3.49, +28.632,  +527.6, +1374.0,  +199.0,  +145.0
1697381700, +3.49, +28.615,  +450.7, +1376.0,  +201.0,  +144.0
1697382300, +3.49, +28.591,  +418.2, +1372.0,  +198.0,  +172.0
1697382900, +3.49, +28.566,  +266.1, +1374.0,  +198.0,  +143.0
1697383500, +3.49, +28.582,  +313.3, +1372.0,  +200.0,  +143.0
1697384100, +3.48, +28.615,  +302.1, +1372.0,  +200.0,  +143.0
1697384700, +3.48, +28.599,  +239.4, +1372.0,  +197.0,  +142.0
1697385300, +3.48, +28.632,  +179.2, +1375.0,  +199.0,  +143.0
1697385900, +3.49, +28.591,   +82.1, +1372.0,  +200.0,  +142.0
1697386500, +3.48, +28.542,   +62.5, +1372.0,  +198.0,  +144.0
1697387100, +3.48, +28.476,   +44.2, +1374.0,  +198.0,  +146.0
1697387700, +3.48, +28.411,   +24.5, +1376.0,  +199.0,  +142.0
1697388300, +3.48, +28.361,   +10.4, +1376.0,  +208.0,  +145.0
1697388900, +3.48, +28.361,    +2.6, +1372.0,  +206.0,  +139.0
1697389500, +3.48, +28.288,    +0.4, +1376.0,  +204.0,  +143.0
1697390100, +3.48, +28.238,    -0.0, +1376.0,  +207.0,  +143.0
1697390700, +3.48, +28.263,    -0.0, +1375.0,  +203.0,  +146.0
1697391300, +3.48, +28.304,    -0.1, +1376.0,  +205.0,  +145.0
1697391900, +3.48, +28.361,    +0.3, +1372.0,  +208.0,  +144.0
1697392500, +3.48, +28.370,    -0.5, +1374.0,  +200.0,  +140.0
1697393100, +3.48, +28.419,    -0.2, +1374.0,  +204.0,  +140.0
1697393700, +3.48, +28.468,    -0.2, +1375.0,  +199.0,  +148.0
1697394300, +3.48, +28.517,    +0.1, +1374.0,  +198.0,  +143.0
1697394900, +3.48, +28.566,    -0.2, +1372.0,  +200.0,  +142.0
1697395500, +3.48, +28.558,    -0.3, +1372.0,  +195.0,  +137.0
1697396100, +3.48, +28.550,    +0.0, +1374.0,  +199.0,  +143.0
1697396700, +3.48, +28.550,    +0.1, +1372.0,  +200.0,  +145.0
1697397300, +3.48, +28.550,    -0.1, +1375.0,  +196.0,  +143.0
1697397900, +3.48, +28.550,    +0.1, +1372.0,  +198.0,  +147.0
1697398500, +3.48, +28.582,    -0.0, +1372.0,  +196.0,  +140.0
1697399100, +3.48, +28.607,    -0.2, +1372.0,  +198.0,  +144.0
1697399700, +3.48, +28.632,    -0.2, +1372.0,  +204.0,  +135.0
1697400300, +3.48, +28.648,    +0.2, +1372.0,  +200.0,  +142.0
1697400900, +3.48, +28.656,    +0.3, +1374.0,  +198.0,  +144.0
1697401500, +3.48, +28.664,    +0.2, +1372.0,  +200.0,  +160.0
1697402100, +3.49, +28.656,    -0.3, +1372.0,  +200.0,  +145.0
1697402700, +3.48, +28.656,    +0.3, +1372.0,  +200.0,  +142.0
1697403300, +3.49, +28.640,    -0.2, +1369.0,  +198.0,  +143.0
1697403900, +3.48, +28.640,    +0.2, +1371.0,  +198.0,  +144.0
1697404500, +3.48, +28.623,    -0.0, +1372.0,  +200.0,  +149.0
1697405100, +3.48, +28.640,    -0.2, +1371.0,  +200.0,  +144.0
1697405700, +3.48, +28.632,    +0.0, +1376.0,  +198.0,  +143.0
1697406300, +3.48, +28.615,    -0.2, +1371.0,  +200.0,  +144.0
1697406900, +3.48, +28.623,    -0.0, +1371.0,  +200.0,  +147.0
1697407500, +3.48, +28.607,    +0.1, +1372.0,  +198.0,  +148.0
1697408100, +3.48, +28.591,    +0.0, +1369.0,  +198.0,  +143.0
1697408700, +3.49, +28.607,    -0.2, +1374.0,  +198.0,  +144.0
1697409300, +3.48, +28.607,    -0.4, +1372.0,  +200.0,  +144.0
1697409900, +3.48, +28.591,    -0.4, +1372.0,  +198.0,  +145.0
1697410500, +3.48, +28.582,    -0.1, +1376.0,  +197.0,  +144.0
1697411100, +3.49, +28.599,    +0.0, +1372.0,  +204.0,  +142.0
1697411700, +3.48, +28.607,    -0.2, +1374.0,  +200.0,  +147.0
1697412300, +3.48, +28.591,    +0.1, +1374.0,  +200.0,  +143.0
1697412900, +3.48, +28.574,    +0.0, +1376.0,  +200.0,  +142.0
1697413500, +3.48, +28.582,    +0.3, +1372.0,  +200.0,  +146.0
1697414100, +3.48, +28.566,    -0.2, +1372.0,  +198.0,  +144.0
1697414700, +3.48, +28.542,    -0.3, +1372.0,  +195.0,  +142.0
1697415300, +3.48, +28.558,    -0.3, +1374.0,  +201.0,  +144.0
1697415900, +3.48, +28.533,    -0.1, +1375.0,  +198.0,  +146.0
1697416500, +3.48, +28.550,    -0.2, +1372.0,  +198.0,  +143.0
1697417100, +3.48, +28.542,    -0.1, +1372.0,  +198.0,  +145.0
1697417700, +3.48, +28.533,    +0.1, +1372.0,  +198.0,  +143.0
1697418300, +3.48, +28.566,    -0.1, +1376.0,  +199.0,  +143.0
1697418900, +3.48, +28.566,    -0.1, +1376.0,  +193.0,  +143.0
1697419500, +3.48, +28.582,    -0.3, +1374.0,  +196.0,  +147.0
1697420100, +3.48, +28.599,    +0.1, +1372.0,  +198.0,  +144.0
1697420700, +3.48, +28.623,    -0.2, +1372.0,  +198.0,  +143.0
1697421300, +3.48, +28.664,    -0.0, +1372.0,  +198.0,  +141.0
1697421900, +3.48, +28.681,    -0.2, +1372.0,  +200.0,  +143.0
1697422500, +3.48, +28.738,    +0.0, +1372.0,  +200.0,  +147.0
1697423100, +3.48, +28.754,    +0.0, +1372.0,  +200.0,  +142.0
1697423700, +3.48, +28.795,    -0.4, +1374.0,  +200.0,  +142.0
1697424300, +3.48, +28.819,    -0.3, +1372.0,  +200.0,  +141.0
1697424900, +3.48, +28.926,    +0.4, +1372.0,  +198.0,  +142.0
1697425500, +3.48, +28.966,    -0.2, +1368.0,  +204.0,  +138.0
1697426100, +3.48, +28.983,    +0.1, +1368.0,  +228.0,  +146.0
1697426700, +3.48, +28.991,    -0.2, +1363.0,  +232.0,  +146.0
1697427300, +3.48, +28.999,    +0.1, +1363.0,  +224.0,  +134.0
1697427900, +3.48, +29.015,    -0.0, +1366.0,  +232.0,  +144.0
1697428500, +3.49, +29.023,    -0.1, +1364.0,  +232.0,  +150.0
1697429100, +3.48, +29.032,    +0.1, +1363.0,  +240.0,  +151.0
1697429700, +3.48, +29.040,    +0.8, +1363.0,  +240.0,  +147.0
1697430300, +3.49, +29.064,    +4.4, +1363.0,  +245.0,  +154.0
1697430900, +3.48, +29.137,   +12.7, +1376.0,  +216.0,   +75.0
1697431500, +3.48, +29.178,   +28.1, +1369.0,  +200.0,  +115.0
1697432100, +3.48, +29.178,   +44.4, +1360.0,  +240.0,  +152.0
1697432700, +3.48, +29.170,   +58.1, +1363.0,  +233.0,  +143.0
1697433300, +3.49, +29.227,   +73.5, +1363.0,  +236.0,  +140.0
1697433900, +3.48, +29.235,   +95.5, +1359.0,  +248.0,  +152.0
1697434500, +3.48, +29.260,  +123.4, +1360.0,  +240.0,  +151.0
1697435100, +3.49, +29.268,  +201.8, +1363.0,  +224.0,  +135.0
1697435700, +3.49, +29.251,  +272.3, +1367.0,  +208.0,  +112.0
1697436300, +3.49, +29.260,  +304.8, +1363.0,  +240.0,  +156.0
1697436900, +3.49, +29.276,  +317.4, +1359.0,  +236.0,  +140.0
1697437500, +3.49, +29.260,  +357.8, +1369.0,  +195.0,  +108.0
1697438100, +3.49, +29.260,  +365.5, +1368.0,  +204.0,  +124.0
1697438700, +3.49, +29.268,  +403.5, +1366.0,  +230.0,  +136.0
1697439300, +3.49, +29.284,  +428.4, +1363.0,  +248.0,  +152.0
