7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1697594100, +3.49, +29.211,    -0.3, +1361.0,  +242.0,  +152.0
1697594700, +3.49, +29.227,    -0.2, +1360.0,  +230.0,  +136.0
1697595300, +3.49, +29.211,    -0.4, +1360.0,  +240.0,  +147.0
1697595900, +3.49, +29.186,    +0.1, +1360.0,  +240.0,  +144.0
1697596500, +3.49, +29.203,    +0.0, +1363.0,  +220.0,  +130.0
1697597100, +3.49, +29.203,    -0.2, +1364.0,  +217.0,  +128.0
1697597700, +3.49, +29.235,    -0.2, +1360.0,  +231.0,  +140.0
1697598300, +3.49, +29.251,    -0.2, +1361.0,  +232.0,  +144.0
1697598900, +3.49, +29.260,    -0.4, +1361.0,  +236.0,  +142.0
1697599500, +3.49, +29.292,    -0.1, +1361.0,  +228.0,  +134.0
1697600100, +3.49, +29.300,    -0.4, +1364.0,  +227.0,  +136.0
1697600700, +3.49, +29.300,    -0.4, +1363.0,  +216.0,  +128.0
1697601300, +3.49, +29.292,    +0.0, +1361.0,  +232.0,  +140.0
1697601900, +3.49, +29.325,    +0.1, +1363.0,  +224.0,  +128.0
1697602500, +3.49, +29.349,    +0.5, +1363.0,  +230.0,  +140.0
1697603100, +3.49, +29.365,    +4.5, +1361.0,  +220.0,  +120.0
1697603700, +3.49, +29.365,   +14.3, +1363.0,  +240.0,  +144.0
1697604300, +3.49, +29.365,   +28.7, +1359.0,  +236.0,  +144.0
1697604900, +3.49, +29.398,   +41.6, +1368.0,  +204.0,  +112.0
1697605500, +3.49, +29.398,   +52.8, +1359.0,  +236.0,  +144.0
1697606100, +3.49, +29.406,   +61.7, +1363.0,  +224.0,  +136.0
1697606700, +3.49, +29.390,   +71.5, +1360.0,  +242.0,  +147.0
1697607300, +3.49, +29.414,   +80.5, +1360.0,  +228.0,  +134.0
1697607900, +3.49, +29.398,  +206.5, +1359.0,  +246.0,  +152.0
1697608500, +3.49, +29.406,  +273.7, +1363.0,  +227.0,  +134.0
1697609100, +3.49, +29.414,  +332.7, +1359.0,  +232.0,  +146.0
1697609700, +3.49, +29.422,  +351.1, +1361.0,  +226.0,  +136.0
1697610300, +3.49, +29.414,  +449.8, +1356.0,  +248.0,  +152.0
1697610900, +3.49, +29.406,  +421.5, +1359.0,  +236.0,  +144.0
1697611500, +3.49, +29.430,  +612.5, +1251.0,  +176.0,  +296.0
1697612100, +3.49, +29.463,  +434.7, +1255.0,  +163.0,  +288.0
1697612700, +3.49, +29.487,  +686.6, +1356.0,  +240.0,  +142.0
1697613300, +3.49, +29.511,  +342.5, +1254.0,  +176.0,  +300.0
1697613900, +3.49, +29.511,  +840.8, +1361.0,  +236.0,  +144.0
1697614500, +3.49, +29.528,  +231.2, +1249.0,  +176.0,  +300.0
1697615100, +3.49, +29.536,  +835.3, +1360.0,  +220.0,  +128.0
1697615700, +3.49, +29.568,  +901.8, +1359.0,  +228.0,  +130.0
1697616300, +3.49, +29.601,  +989.6, +1254.0,  +176.0,  +296.0
1697616900, +3.49, +29.649, +1178.7, +1254.0,  +164.0,  +288.0
1697617500, +3.49, +29.706, +1417.7, +1235.0,  +163.0,  +275.0
1697618100, +3.49, +29.747, +1406.7, +1248.0,  +163.0,  +294.0
1697618700, +3.49, +29.827, +1325.4, +1246.0,  +168.0,  +300.0
1697619300, +3.49, +29.860, +1517.6, +1246.0,  +168.0,  +304.0
1697619900, +3.49, +29.884, +1334.2, +1247.0,  +172.0,  +300.0
1697620500, +3.49, +29.925, +1648.9, +1248.0,  +148.0,  +280.0
1697621100, +3.49, +29.949, +1556.5, +1241.0,  +176.0,  +310.0
1697621700, +3.49, +30.013, +1619.2, +1247.0,  +164.0,  +296.0
1697622300, +3.49, +30.151, +1304.8, +1240.0,  +164.0,  +304.0
1697622900, +3.49, +30.288, +1676.4, +1233.0,  +172.0,  +308.0
1697623500, +3.49, +30.296, +1518.7, +1243.0,  +172.0,  +300.0
1697624100, +3.49, +30.328, +1580.5, +1239.0,  +161.0,  +304.0
1697624700, +3.49, +30.408, +1490.8, +1236.0,  +161.0,  +304.0
1697625300, +3.49, +30.497, +1716.4, +1239.0,  +168.0,  +304.0
1697625900, +3.49, +30.601, +1680.7, +1235.0,  +168.0,  +307.0
1697626500, +3.49, +30.641, +1929.1, +1231.0,  +160.0,  +304.0
1697627100, +3.49, +30.657,  +579.6, +1240.0,  +129.0,  +272.0
1697627700, +3.49, +30.689,  +163.6, +1235.0,  +166.0,  +308.0
1697628300, +3.49, +30.697,   +90.4, +1235.0,  +160.0,  +304.0
1697628900, +3.49, +30.697,   +91.2, +1240.0,  +134.0,  +280.0
1697629500, +3.49, +30.681,  +107.6, +1239.0,  +172.0,  +304.0
1697630100, +3.49, +30.657,  +184.9, +1238.0,  +160.0,  +300.0
1697630700, +3.49, +30.617,  +400.7, +1233.0,  +160.0,  +291.0
1697631300, +3.49, +30.585, +1083.4, +1232.0,  +160.0,  +304.0
1697631900, +3.49, +30.569,  +650.7, +1238.0,  +160.0,  +300.0
1697632500, +3.49, +30.480,  +568.1, +1238.0,  +160.0,  +300.0
1697633100, +3.49, +30.392,  +697.2, +1244.0,  +166.0,  +296.0
