7530-216339
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1698155700, +3.50, +32.320,    +3.7, +1321.0,   +48.0,  +524.0
1698156300, +3.50, +32.390,    +5.3, +1320.0,   +48.0,  +526.0
1698156900, +3.50, +32.593,    +0.8, +1295.0,   +28.0,  +576.0
1698157500, +3.50, +32.709,    +0.7, +1257.0,    +2.0,  +624.0
1698158100, +3.50, +32.655,    +0.4, +1294.0,   +32.0,  +576.0
1698158700, +3.50, +32.507,    +1.1, +1315.0,   +44.0,  +540.0
1698159300, +3.50, +32.422,    +4.1, +1295.0,   +88.0,  +590.0
1698159900, +3.50, +32.297,    +0.8, +1300.0,   +96.0,  +584.0
1698160500, +3.50, +32.117,    +2.1, +1320.0,   +92.0,  +580.0
1698161100, +3.50, +31.912,    +0.1, +1155.0,   +16.0,  +712.0
1698161700, +3.50, +31.692,    +0.9, +1176.0,   +24.0,  +718.0
1698162300, +3.50, +31.510,    +0.4, +1279.0,   +80.0,  +620.0
1698162900, +3.50, +31.335,    +0.6, +1296.0,   +96.0,  +590.0
1698163500, +3.50, +31.176,    -0.1, +1299.0,   +92.0,  +588.0
1698164100, +3.50, +31.009,    -0.3, +1144.0,   +12.0,  +707.0
1698164700, +3.50, +30.849,    -0.2, +1153.0,   +16.0,  +712.0
1698165300, +3.50, +30.673,    -0.1, +1176.0,   +22.0,  +716.0
1698165900, +3.50, +30.513,    -0.3, +1179.0,   +24.0,  +718.0
1698166500, +3.50, +30.400,    -0.3, +1182.0,   +24.0,  +716.0
1698167100, +3.49, +30.239,    -0.1, +1191.0,   +24.0,  +716.0
1698167700, +3.49, +29.989,    -0.4, +1196.0,   +30.0,  +716.0
1698168300, +3.49, +29.819,    -0.1, +1196.0,   +30.0,  +713.0
1698168900, +3.49, +29.730,    -0.3, +1200.0,   +32.0,  +712.0
1698169500, +3.49, +29.633,    +0.0, +1200.0,   +32.0,  +712.0
1698170100, +3.49, +29.528,    +0.2, +1204.0,   +32.0,  +712.0
1698170700, +3.49, +29.438,    +0.0, +1204.0,   +32.0,  +712.0
1698171300, +3.49, +29.373,    +0.1, +1204.0,   +32.0,  +711.0
1698171900, +3.49, +29.284,    -0.2, +1203.0,   +32.0,  +710.0
1698172500, +3.49, +29.268,    +0.1, +1311.0,   +96.0,  +579.0
1698173100, +3.49, +29.227,    -0.1, +1311.0,   +92.0,  +577.0
1698173700, +3.49, +29.178,    +0.4, +1312.0,   +96.0,  +576.0
1698174300, +3.49, +29.227,    -0.2, +1203.0,   +32.0,  +711.0
1698174900, +3.49, +29.080,    +0.2, +1311.0,   +92.0,  +582.0
1698175500, +3.49, +28.926,    +0.0, +1312.0,   +92.0,  +576.0
1698176100, +3.49, +28.811,    +0.1, +1313.0,   +92.0,  +579.0
1698176700, +3.49, +28.730,    +0.3, +1312.0,   +92.0,  +583.0
1698177300, +3.49, +28.566,    -0.2, +1313.0,   +92.0,  +584.0
1698177900, +3.49, +28.394,    -0.1, +1313.0,   +92.0,  +583.0
1698178500, +3.49, +28.238,    -0.1, +1315.0,   +88.0,  +583.0
1698179100, +3.49, +28.107,    -0.1, +1318.0,   +88.0,  +591.0
1698179700, +3.49, +28.033,    -0.0, +1316.0,   +88.0,  +583.0
1698180300, +3.49, +27.935,    +0.0, +1315.0,   +88.0,  +588.0
1698180900, +3.49, +27.828,    -0.0, +1319.0,   +84.0,  +588.0
1698181500, +3.49, +27.770,    -0.2, +1318.0,   +88.0,  +590.0
1698182100, +3.48, +27.729,    +0.2, +1319.0,   +88.0,  +587.0
1698182700, +3.48, +27.696,    +0.1, +1319.0,   +88.0,  +585.0
1698183300, +3.48, +27.647,    -0.2, +1318.0,   +92.0,  +585.0
1698183900, +3.48, +27.606,    -0.2, +1319.0,   +88.0,  +580.0
1698184500, +3.48, +27.573,    +0.1, +1320.0,   +89.0,  +585.0
1698185100, +3.48, +27.565,    -0.3, +1319.0,   +88.0,  +588.0
1698185700, +3.48, +27.606,    -0.0, +1319.0,   +88.0,  +590.0
1698186300, +3.48, +27.672,    +0.1, +1319.0,   +88.0,  +590.0
1698186900, +3.48, +27.704,    -0.2, +1318.0,   +92.0,  +590.0
1698187500, +3.48, +27.688,    -0.3, +1315.0,   +88.0,  +594.0
1698188100, +3.48, +27.647,    -0.1, +1318.0,   +88.0,  +590.0
