7530-432503
OS REV: 1.07 Sensor Cal: 1628751600 Averages: 30
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (mg), Ay (mg), Az (mg)
1658126340, +3.49, +27.910,    -0.4, +1279.0,  -160.0,  +504.0
1658126940, +3.49, +27.927,    +0.3, +1283.0,  -160.0,  +494.0
1658127540, +3.49, +27.918,    +0.0, +1283.0,  -160.0,  +489.0
1658128140, +3.49, +27.927,    -0.0, +1272.0,  -164.0,  +528.0
1658128740, +3.49, +27.918,    +0.0, +1279.0,  -160.0,  +508.0
1658129340, +3.49, +27.918,    -0.1, +1279.0,  -160.0,  +508.0
1658129940, +3.49, +27.902,    -0.1, +1283.0,  -160.0,  +494.0
1658130540, +3.49, +27.894,    -0.0, +1279.0,  -160.0,  +504.0
1658131140, +3.50, +27.902,    +0.1, +1283.0,  -158.0,  +489.0
1658131740, +3.49, +27.918,    +0.2, +1281.0,  -160.0,  +494.0
1658132340, +3.49, +27.943,    +0.0, +1276.0,  -160.0,  +518.0
1658132940, +3.50, +27.910,    +0.1, +1286.0,  -157.0,  +487.0
1658133540, +3.50, +27.935,    -0.1, +1283.0,  -160.0,  +494.0
1658134140, +3.49, +27.943,    +0.5, +1278.0,  -160.0,  +512.0
1658134740, +3.49, +27.918,    +0.3, +1281.0,  -156.0,  +492.0
1658135340, +3.49, +27.927,    -0.1, +1284.0,  -160.0,  +497.0
1658135940, +3.49, +27.927,    +0.3, +1263.0,  -168.0,  +544.0
1658136540, +3.49, +27.918,    -0.0, +1216.0,  -184.0,  +576.0
1658137140, +3.49, +27.902,    +0.1, +1286.0,  -160.0,  +472.0
1658137740, +3.49, +27.927,    +0.0, +1283.0,  -160.0,  +496.0
1658138340, +3.49, +27.918,    -0.2, +1283.0,  -160.0,  +496.0
1658138940, +3.49, +27.935,    -0.1, +1286.0,  -160.0,  +488.0
1658139540, +3.49, +27.894,    -0.1, +1283.0,  -160.0,  +492.0
1658140140, +3.49, +27.910,    -0.1, +1283.0,  -160.0,  +496.0
1658140740, +3.49, +27.910,    +0.2, +1281.0,  -160.0,  +494.0
1658141340, +3.50, +27.894,    +0.3, +1287.0,  -154.0,  +432.0
1658141940, +3.49, +27.918,    +0.2, +1287.0,  -156.0,  +448.0
1658142540, +3.49, +27.885,    +0.2, +1273.0,  -160.0,  +524.0
1658143140, +3.50, +27.910,    -0.3, +1283.0,  -157.0,  +494.0
1658143740, +3.49, +27.918,    +0.1, +1286.0,  -149.0,  +425.0
1658144340, +3.49, +27.910,    -0.2, +1283.0,  -160.0,  +496.0
1658144940, +3.50, +27.910,    -0.3, +1287.0,  -160.0,  +472.0
1658145540, +3.49, +27.910,    +0.4, +1287.0,  -152.0,  +432.0
1658146140, +3.49, +27.910,    -0.0, +1283.0,  -157.0,  +496.0
1658146740, +3.49, +27.918,    +0.1, +1248.0,  -178.0,  +563.0
1658147340, +3.49, +27.902,    -0.1, +1283.0,  -160.0,  +496.0
1658147940, +3.50, +27.910,    +0.1, +1279.0,  -160.0,  +504.0
1658148540, +3.49, +27.902,    +0.0, +1287.0,  -160.0,  +484.0
1658149140, +3.49, +27.894,    -0.1, +1286.0,  -160.0,  +488.0
1658149740, +3.49, +27.894,    +0.1, +1279.0,  -160.0,  +502.0
1658150340, +3.50, +27.902,    +0.2, +1287.0,  -160.0,  +484.0
1658150940, +3.49, +27.910,    -0.5, +1283.0,  -159.0,  +484.0
1658151540, +3.50, +27.902,    +0.1, +1284.0,  -160.0,  +488.0
1658152140, +3.50, +27.918,    -0.0, +1283.0,  -160.0,  +499.0
1658152740, +3.49, +27.877,    -0.0, +1283.0,  -160.0,  +496.0
1658153340, +3.49, +27.894,    +0.1, +1286.0,  -160.0,  +491.0
1658153940, +3.49, +27.894,    -0.2, +1279.0,  -160.0,  +512.0
1658154540, +3.49, +27.910,    +0.2, +1281.0,  -160.0,  +487.0
1658155140, +3.49, +27.918,    -0.2, +1283.0,  -160.0,  +492.0
1658155740, +3.49, +27.935,    +0.3, +1283.0,  -160.0,  +496.0
1658156340, +3.50, +27.918,    -0.1, +1278.0,  -160.0,  +512.0
1658156940, +3.50, +27.927,    +0.3, +1281.0,  -160.0,  +494.0
1658157540, +3.49, +27.918,    -0.2, +1281.0,  -160.0,  +492.0
1658158140, +3.50, +27.902,    -0.2, +1279.0,  -160.0,  +504.0
1658158740, +3.50, +27.910,    +0.2, +1283.0,  -158.0,  +492.0
1658159340, +3.50, +27.885,    -0.1, +1281.0,  -160.0,  +500.0
1658159940, +3.49, +27.910,    -0.1, +1276.0,  -160.0,  +519.0
1658160540, +3.49, +27.918,    +0.1, +1264.0,  -170.0,  +547.0
1658161140, +3.50, +27.918,    +0.2, +1286.0,  -160.0,  +486.0
1658161740, +3.49, +27.910,    +0.1, +1284.0,  -157.0,  +483.0
1658162340, +3.49, +27.910,    -0.1, +1283.0,  -160.0,  +492.0
1658162940, +3.49, +27.902,    +0.0, +1283.0,  -160.0,  +492.0
1658163540, +3.49, +27.935,    +0.2, +1281.0,  -160.0,  +492.0
1658164140, +3.49, +27.943,    +0.0, +1228.0,  -184.0,  +572.0
1658164740, +3.49, +27.910,    -0.1, +1287.0,  -160.0,  +464.0
1658165340, +3.50, +27.918,    -0.3, +1283.0,  -143.0,  +423.0
1658165940, +3.50, +27.927,    +0.1, +1273.0,  -164.0,  +524.0
1658166540, +3.49, +27.927,    +0.4, +1281.0,  -160.0,  +497.0
1658167140, +3.49, +27.927,    +1.5, +1235.0,  -180.0,  +572.0
1658167740, +3.49, +27.918,    +2.6, +1275.0,  -160.0,  +524.0
1658168340, +3.49, +27.918,    +3.3, +1279.0,  -160.0,  +508.0
1658168940, +3.49, +27.894,    +4.5, +1278.0,  -160.0,  +510.0
1658169540, +3.50, +27.927,    +8.8, +1232.0,  -180.0,  +574.0
1658170140, +3.49, +27.910,    +9.0, +1222.0,  -184.0,  +574.0
1658170740, +3.50, +27.877,   +11.0, +1233.0,  -180.0,  +569.0
1658171340, +3.50, +27.910,    +9.2, +1255.0,  -176.0,  +558.0
1658171940, +3.50, +27.910,   +15.2, +1223.0,  -180.0,  +572.0
1658172540, +3.50, +27.877,   +11.8, +1248.0,  -176.0,  +561.0
1658173140, +3.50, +27.902,   +10.9, +1236.0,  -180.0,  +568.0
1658173740, +3.50, +27.877,   +10.6, +1223.0,  -184.0,  +575.0
1658174340, +3.49, +27.902,   +15.4, +1223.0,  -180.0,  +574.0
1658174940, +3.49, +27.910,   +13.6, +1271.0,  -164.0,  +528.0
1658175540, +3.49, +27.910,   +20.8, +1223.0,  -180.0,  +574.0
1658176140, +3.50, +27.910,   +19.5, +1260.0,  -170.0,  +550.0
1658176740, +3.50, +27.885,   +25.9, +1252.0,  -174.0,  +558.0
1658177340, +3.50, +27.885,   +25.7, +1286.0,  -148.0,  +433.0
1658177940, +3.49, +27.910,   +22.7, +1284.0,  -146.0,  +433.0
1658178540, +3.49, +27.902,   +21.8, +1216.0,  -184.0,  +574.0
1658179140, +3.49, +27.918,   +21.1, +1230.0,  -184.0,  +572.0
1658179740, +3.49, +27.902,   +26.0, +1233.0,  -178.0,  +568.0
