Genotype	Time	Logtime	Oxy_air_sat	Phase	Amp	TempC	air_sat	percent_oxygen	pO2	pO2_Torr	cO2	cO2_umol	Salinity	chlorinity	SalCorcO2	SalCorcO2_umol
8	15:55:00 PM	0.00	94.740	26.640	6897.000	29.000	95.077301	19.9186946	193.777060	145.345150	7.29986457	228.120768	35	19.3739612	5.91418839	184.818387
8	15:55:01 PM	0.02	93.630	26.770	6905.000	29.000	93.902770	19.6726303	191.383247	143.549637	7.20968615	225.302692	35	19.3739612	5.84112784	182.535245
8	15:55:09 PM	0.16	93.310	26.800	6929.000	29.000	93.634289	19.6163834	190.836056	143.139209	7.18907264	224.658520	35	19.3739612	5.82442723	182.013351
8	15:55:24 PM	0.41	94.140	26.710	6906.000	29.000	94.442607	19.7857262	192.483490	144.374890	7.25113389	226.597934	35	19.3739612	5.87470788	183.584621
8	15:55:39 PM	0.66	94.360	26.690	6921.000	29.000	94.623409	19.8236043	192.851983	144.651283	7.26501557	227.031737	35	19.3739612	5.88595451	183.936078
8	15:55:54 PM	0.91	93.750	26.750	6918.000	29.000	94.082289	19.7102395	191.749125	143.824069	7.22346928	225.733415	35	19.3739612	5.85229462	182.884207
8	15:56:09 PM	1.16	92.980	26.840	6953.000	29.000	93.277795	19.5416980	190.109486	142.594235	7.16170167	223.803177	35	19.3739612	5.80225188	181.320371
8	15:56:24 PM	1.41	94.130	26.710	6860.000	29.000	94.442607	19.7857262	192.483490	144.374890	7.25113389	226.597934	35	19.3739612	5.87470788	183.584621
8	15:56:40 PM	1.66	94.020	26.720	6860.000	29.000	94.352367	19.7668209	192.299572	144.236939	7.24420541	226.381419	35	19.3739612	5.86909458	183.409206
8	15:56:55 PM	1.92	93.560	26.770	6882.000	29.000	93.902770	19.6726303	191.383247	143.549637	7.20968615	225.302692	35	19.3739612	5.84112784	182.535245
8	15:57:09 PM	2.16	94.210	26.700	6839.000	29.000	94.532955	19.8046540	192.667627	144.513004	7.25807061	226.814706	35	19.3739612	5.88032785	183.760245
8	15:57:24 PM	2.41	94.390	26.680	6852.000	29.000	94.713972	19.8425771	193.036559	144.789726	7.27196880	227.249025	35	19.3739612	5.89158786	184.112121
8	15:57:39 PM	2.66	94.300	26.690	6866.000	29.000	94.623409	19.8236043	192.851983	144.651283	7.26501557	227.031737	35	19.3739612	5.88595451	183.936078
8	15:57:54 PM	2.91	94.640	26.650	6859.000	29.000	94.986307	19.8996313	193.591604	145.206046	7.29287817	227.902443	35	19.3739612	5.90852817	184.641505
8	15:58:09 PM	3.16	94.880	26.630	6872.000	29.000	95.168404	19.9377807	193.962737	145.484419	7.30685929	228.339353	35	19.3739612	5.91985536	184.995480
8	15:58:24 PM	3.41	94.560	26.660	6856.000	29.000	94.895420	19.8805906	193.406369	145.067107	7.28590008	227.684378	35	19.3739612	5.90287468	184.464834
8	15:58:39 PM	3.66	93.570	26.770	6876.000	29.000	93.902770	19.6726303	191.383247	143.549637	7.20968615	225.302692	35	19.3739612	5.84112784	182.535245
8	15:58:54 PM	3.91	95.020	26.610	6862.000	29.000	95.350936	19.9760211	194.334755	145.763456	7.32087375	228.777305	35	19.3739612	5.93120957	185.350299
8	15:59:09 PM	4.16	93.780	26.750	6871.000	29.000	94.082289	19.7102395	191.749125	143.824069	7.22346928	225.733415	35	19.3739612	5.85229462	182.884207
8	15:59:24 PM	4.41	94.260	26.700	6856.000	29.000	94.532955	19.8046540	192.667627	144.513004	7.25807061	226.814706	35	19.3739612	5.88032785	183.760245
8	15:59:39 PM	4.66	92.760	26.860	6874.000	29.000	93.100180	19.5044876	189.747488	142.322714	7.14806471	223.377022	35	19.3739612	5.79120351	180.975110
8	15:59:54 PM	4.91	93.260	26.810	6884.000	29.000	93.545007	19.5976789	190.654091	143.002723	7.18221774	224.444304	35	19.3739612	5.81887354	181.839798
8	16:00:09 PM	5.16	92.290	26.920	6844.000	29.000	92.569847	19.3933829	188.666617	141.511991	7.10734670	222.104585	35	19.3739612	5.75821469	179.944209
8	16:00:24 PM	5.41	90.380	27.140	6858.000	29.000	90.657058	18.9926536	184.768162	138.587901	6.96048621	217.515194	35	19.3739612	5.63923157	176.225987
8	16:00:39 PM	5.66	95.310	26.580	6863.000	29.000	95.625551	20.0335529	194.894448	146.183262	7.34195819	229.436193	35	19.3739612	5.94829171	185.884116
8	16:00:54 PM	5.91	92.770	26.860	6830.000	29.000	93.100180	19.5044876	189.747488	142.322714	7.14806471	223.377022	35	19.3739612	5.79120351	180.975110
8	16:01:09 PM	6.16	93.570	26.770	6833.000	29.000	93.902770	19.6726303	191.383247	143.549637	7.20968615	225.302692	35	19.3739612	5.84112784	182.535245
8	16:01:24 PM	6.41	94.500	26.670	6854.000	29.000	94.804642	19.8615726	193.221354	144.928334	7.27893030	227.466572	35	19.3739612	5.89722791	184.288372
8	16:01:40 PM	6.66	95.000	26.610	6850.000	29.000	95.350936	19.9760211	194.334755	145.763456	7.32087375	228.777305	35	19.3739612	5.93120957	185.350299
8	16:01:54 PM	6.91	93.020	26.830	6855.000	29.000	93.366760	19.5603362	190.290806	142.730236	7.16853227	224.016633	35	19.3739612	5.80778588	181.493309
8	16:02:09 PM	7.16	93.200	26.810	6879.000	29.000	93.545007	19.5976789	190.654091	143.002723	7.18221774	224.444304	35	19.3739612	5.81887354	181.839798
8	16:02:24 PM	7.41	92.290	26.920	6867.000	29.000	92.569847	19.3933829	188.666617	141.511991	7.10734670	222.104585	35	19.3739612	5.75821469	179.944209
8	16:02:39 PM	7.66	94.300	26.690	6835.000	29.000	94.623409	19.8236043	192.851983	144.651283	7.26501557	227.031737	35	19.3739612	5.88595451	183.936078
8	16:02:54 PM	7.91	91.650	26.990	6845.000	29.000	91.955853	19.2647511	187.415236	140.573375	7.06020535	220.631417	35	19.3739612	5.72002181	178.750681
8	16:03:09 PM	8.16	93.570	26.770	6847.000	29.000	93.902770	19.6726303	191.383247	143.549637	7.20968615	225.302692	35	19.3739612	5.84112784	182.535245
8	16:03:24 PM	8.41	93.370	26.800	6856.000	29.000	93.634289	19.6163834	190.836056	143.139209	7.18907264	224.658520	35	19.3739612	5.82442723	182.013351
8	16:03:39 PM	8.66	91.580	27.000	6859.000	29.000	91.868552	19.2464616	187.237308	140.439918	7.05350255	220.421955	35	19.3739612	5.71459135	178.580980
8	16:03:54 PM	8.91	92.820	26.860	6861.000	29.000	93.100180	19.5044876	189.747488	142.322714	7.14806471	223.377022	35	19.3739612	5.79120351	180.975110
8	16:04:09 PM	9.16	94.030	26.720	6853.000	29.000	94.352367	19.7668209	192.299572	144.236939	7.24420541	226.381419	35	19.3739612	5.86909458	183.409206
8	16:04:24 PM	9.41	91.860	26.970	6850.000	29.000	92.130763	19.3013948	187.771720	140.840761	7.07363464	221.051082	35	19.3739612	5.73090192	179.090685
8	16:04:39 PM	9.66	94.760	26.640	6852.000	29.000	95.077301	19.9186946	193.777060	145.345150	7.29986457	228.120768	35	19.3739612	5.91418839	184.818387
8	16:04:54 PM	9.91	92.420	26.900	6844.000	29.000	92.746207	19.4303303	189.026056	141.781594	7.12088732	222.527729	35	19.3739612	5.76918499	180.287031
8	16:05:09 PM	10.16	93.420	26.790	6849.000	29.000	93.723676	19.6351102	191.018237	143.275856	7.19593566	224.872990	35	19.3739612	5.82998750	182.187109
8	16:05:24 PM	10.41	91.920	26.960	6828.000	29.000	92.218373	19.3197491	187.950278	140.974691	7.08036116	221.261286	35	19.3739612	5.73635160	179.260987
8	16:05:39 PM	10.66	92.910	26.850	6866.000	29.000	93.188935	19.5230818	189.928380	142.458394	7.15487916	223.589974	35	19.3739612	5.79672443	181.147638
8	16:05:54 PM	10.91	92.490	26.890	6859.000	29.000	92.834543	19.4488368	189.206095	141.916634	7.12766963	222.739676	35	19.3739612	5.77467987	180.458746
8	16:06:09 PM	11.16	91.330	27.030	6831.000	29.000	91.607266	19.1917221	186.704780	140.040488	7.03344145	219.795045	35	19.3739612	5.69833829	178.073072
8	16:06:24 PM	11.41	92.550	26.890	6864.000	29.000	92.834543	19.4488368	189.206095	141.916634	7.12766963	222.739676	35	19.3739612	5.77467987	180.458746
8	16:06:39 PM	11.66	91.410	27.020	6849.000	29.000	91.694259	19.2099472	186.882080	140.173475	7.04012062	220.003769	35	19.3739612	5.70374961	178.242175
8	16:06:54 PM	11.91	91.520	27.000	6833.000	29.000	91.868552	19.2464616	187.237308	140.439918	7.05350255	220.421955	35	19.3739612	5.71459135	178.580980
8	16:07:09 PM	12.16	91.870	26.960	6840.000	29.000	92.218373	19.3197491	187.950278	140.974691	7.08036116	221.261286	35	19.3739612	5.73635160	179.260987
8	16:07:24 PM	12.41	92.270	26.920	6811.000	29.000	92.569847	19.3933829	188.666617	141.511991	7.10734670	222.104585	35	19.3739612	5.75821469	179.944209
8	16:07:39 PM	12.66	93.160	26.820	6845.000	29.000	93.455831	19.5789965	190.472341	142.866399	7.17537095	224.230342	35	19.3739612	5.81332643	181.666451
8	16:07:54 PM	12.91	92.220	26.930	6841.000	29.000	92.481823	19.3749418	188.487215	141.377428	7.10058838	221.893387	35	19.3739612	5.75273924	179.773101
8	16:08:09 PM	13.16	93.440	26.790	6863.000	29.000	93.723676	19.6351102	191.018237	143.275856	7.19593566	224.872990	35	19.3739612	5.82998750	182.187109
8	16:08:24 PM	13.41	91.650	26.990	6844.000	29.000	91.955853	19.2647511	187.415236	140.573375	7.06020535	220.631417	35	19.3739612	5.72002181	178.750681
8	16:08:39 PM	13.66	92.040	26.950	6865.000	29.000	92.306086	19.3381250	188.129046	141.108778	7.08709561	221.471738	35	19.3739612	5.74180771	179.431491
8	16:08:54 PM	13.91	91.860	26.970	6872.000	29.000	92.130763	19.3013948	187.771720	140.840761	7.07363464	221.051082	35	19.3739612	5.73090192	179.090685
8	16:09:09 PM	14.16	92.960	26.840	6832.000	29.000	93.277795	19.5416980	190.109486	142.594235	7.16170167	223.803177	35	19.3739612	5.80225188	181.320371
8	16:09:24 PM	14.41	92.440	26.900	6860.000	29.000	92.746207	19.4303303	189.026056	141.781594	7.12088732	222.527729	35	19.3739612	5.76918499	180.287031
8	16:09:39 PM	14.66	92.680	26.870	6848.000	29.000	93.011529	19.4859154	189.566810	142.187194	7.14125831	223.164322	35	19.3739612	5.78568912	180.802785
8	16:09:54 PM	14.91	94.490	26.670	6871.000	29.000	94.804642	19.8615726	193.221354	144.928334	7.27893030	227.466572	35	19.3739612	5.89722791	184.288372
8	16:10:09 PM	15.16	92.500	26.890	6831.000	29.000	92.834543	19.4488368	189.206095	141.916634	7.12766963	222.739676	35	19.3739612	5.77467987	180.458746
8	16:10:24 PM	15.41	91.960	26.950	6846.000	29.000	92.306086	19.3381250	188.129046	141.108778	7.08709561	221.471738	35	19.3739612	5.74180771	179.431491
8	16:10:39 PM	15.66	91.580	27.000	6871.000	29.000	91.868552	19.2464616	187.237308	140.439918	7.05350255	220.421955	35	19.3739612	5.71459135	178.580980
8	16:10:54 PM	15.91	93.280	26.810	6863.000	29.000	93.545007	19.5976789	190.654091	143.002723	7.18221774	224.444304	35	19.3739612	5.81887354	181.839798
8	16:11:09 PM	16.16	93.230	26.810	6851.000	29.000	93.545007	19.5976789	190.654091	143.002723	7.18221774	224.444304	35	19.3739612	5.81887354	181.839798
8	16:11:24 PM	16.41	90.330	27.140	6849.000	29.000	90.657058	18.9926536	184.768162	138.587901	6.96048621	217.515194	35	19.3739612	5.63923157	176.225987
8	16:11:39 PM	16.66	92.870	26.850	6840.000	29.000	93.188935	19.5230818	189.928380	142.458394	7.15487916	223.589974	35	19.3739612	5.79672443	181.147638
8	16:11:54 PM	16.91	93.970	26.730	6834.000	29.000	94.262234	19.7479380	192.115872	144.099152	7.23728516	226.165161	35	19.3739612	5.86348795	183.233998
8	16:12:09 PM	17.16	92.110	26.940	6854.000	29.000	92.393902	19.3565225	188.308025	141.243024	7.09383802	221.682438	35	19.3739612	5.74727025	179.602195
8	16:12:24 PM	17.41	92.550	26.890	6845.000	29.000	92.834543	19.4488368	189.206095	141.916634	7.12766963	222.739676	35	19.3739612	5.77467987	180.458746
8	16:12:39 PM	17.66	92.560	26.890	6856.000	29.000	92.834543	19.4488368	189.206095	141.916634	7.12766963	222.739676	35	19.3739612	5.77467987	180.458746
8	16:12:54 PM	17.91	93.540	26.780	6877.000	29.000	93.813170	19.6538591	191.200634	143.412666	7.20280683	225.087713	35	19.3739612	5.83555437	182.361074
8	16:13:09 PM	18.16	93.270	26.810	6851.000	29.000	93.545007	19.5976789	190.654091	143.002723	7.18221774	224.444304	35	19.3739612	5.81887354	181.839798
8	16:13:24 PM	18.41	92.390	26.910	6832.000	29.000	92.657975	19.4118457	188.846231	141.646713	7.11411301	222.316032	35	19.3739612	5.76369660	180.115519
8	16:13:39 PM	18.66	91.040	27.060	6836.000	29.000	91.346899	19.1371754	186.174128	139.642465	7.01345101	219.170344	35	19.3739612	5.68214248	177.566952
8	16:13:54 PM	18.91	92.590	26.880	6832.000	29.000	92.922984	19.4673651	189.386346	142.051834	7.13445995	222.951874	35	19.3739612	5.78018124	180.630664
8	16:14:09 PM	19.16	93.310	26.800	6822.000	29.000	93.634289	19.6163834	190.836056	143.139209	7.18907264	224.658520	35	19.3739612	5.82442723	182.013351
8	16:14:24 PM	19.41	93.700	26.760	6821.000	29.000	93.992476	19.6914237	191.566078	143.686772	7.21657362	225.517926	35	19.3739612	5.84670792	182.709622
8	16:14:39 PM	19.66	91.120	27.050	6837.000	29.000	91.433586	19.1553363	186.350804	139.774984	7.02010666	219.378333	35	19.3739612	5.68753474	177.735461
8	16:14:54 PM	19.91	91.790	26.970	6847.000	29.000	92.130763	19.3013948	187.771720	140.840761	7.07363464	221.051082	35	19.3739612	5.73090192	179.090685
8	16:15:09 PM	20.16	92.590	26.880	6840.000	29.000	92.922984	19.4673651	189.386346	142.051834	7.13445995	222.951874	35	19.3739612	5.78018124	180.630664
8	16:15:24 PM	20.41	93.750	26.750	6861.000	29.000	94.082289	19.7102395	191.749125	143.824069	7.22346928	225.733415	35	19.3739612	5.85229462	182.884207
8	16:15:39 PM	20.66	93.360	26.800	6765.000	29.000	93.634289	19.6163834	190.836056	143.139209	7.18907264	224.658520	35	19.3739612	5.82442723	182.013351
8	16:15:54 PM	20.91	92.750	26.860	6779.000	29.000	93.100180	19.5044876	189.747488	142.322714	7.14806471	223.377022	35	19.3739612	5.79120351	180.975110
8	16:16:09 PM	21.16	91.870	26.960	6771.000	29.000	92.218373	19.3197491	187.950278	140.974691	7.08036116	221.261286	35	19.3739612	5.73635160	179.260987
8	16:16:24 PM	21.41	93.610	26.770	6757.000	29.000	93.902770	19.6726303	191.383247	143.549637	7.20968615	225.302692	35	19.3739612	5.84112784	182.535245
8	16:16:39 PM	21.66	92.750	26.860	6747.000	29.000	93.100180	19.5044876	189.747488	142.322714	7.14806471	223.377022	35	19.3739612	5.79120351	180.975110
8	16:16:55 PM	21.91	90.350	27.140	6730.000	29.000	90.657058	18.9926536	184.768162	138.587901	6.96048621	217.515194	35	19.3739612	5.63923157	176.225987
8	16:17:10 PM	22.16	91.730	26.980	6727.000	29.000	92.043256	19.2830622	187.593373	140.706990	7.06691604	220.841126	35	19.3739612	5.72545866	178.920583
8	16:17:24 PM	22.41	93.830	26.740	6740.000	29.000	94.172208	19.7290775	191.932389	143.961529	7.23037312	225.949160	35	19.3739612	5.85788796	183.058999
8	16:17:39 PM	22.66	93.650	26.760	6745.000	29.000	93.992476	19.6914237	191.566078	143.686772	7.21657362	225.517926	35	19.3739612	5.84670792	182.709622
8	16:17:54 PM	22.91	93.820	26.750	6723.000	29.000	94.082289	19.7102395	191.749125	143.824069	7.22346928	225.733415	35	19.3739612	5.85229462	182.884207
8	16:18:09 PM	23.16	92.410	26.900	6729.000	29.000	92.746207	19.4303303	189.026056	141.781594	7.12088732	222.527729	35	19.3739612	5.76918499	180.287031
8	16:18:24 PM	23.41	93.160	26.820	6724.000	29.000	93.455831	19.5789965	190.472341	142.866399	7.17537095	224.230342	35	19.3739612	5.81332643	181.666451
8	16:18:39 PM	23.66	92.620	26.880	6725.000	29.000	92.922984	19.4673651	189.386346	142.051834	7.13445995	222.951874	35	19.3739612	5.78018124	180.630664
8	16:18:54 PM	23.91	91.470	27.010	6714.000	29.000	91.781354	19.2281937	187.059590	140.306618	7.04680765	220.212739	35	19.3739612	5.70916729	178.411478
8	16:19:09 PM	24.16	91.440	27.010	6716.000	29.000	91.781354	19.2281937	187.059590	140.306618	7.04680765	220.212739	35	19.3739612	5.70916729	178.411478
8	16:19:24 PM	24.41	92.200	26.930	6718.000	29.000	92.481823	19.3749418	188.487215	141.377428	7.10058838	221.893387	35	19.3739612	5.75273924	179.773101
8	16:19:39 PM	24.66	91.140	27.050	6709.000	29.000	91.433586	19.1553363	186.350804	139.774984	7.02010666	219.378333	35	19.3739612	5.68753474	177.735461
8	16:19:54 PM	24.91	92.740	26.870	6716.000	29.000	93.011529	19.4859154	189.566810	142.187194	7.14125831	223.164322	35	19.3739612	5.78568912	180.802785
8	16:20:09 PM	25.16	92.730	26.870	6705.000	29.000	93.011529	19.4859154	189.566810	142.187194	7.14125831	223.164322	35	19.3739612	5.78568912	180.802785
