millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
115759,1739685381.80,65.06,360.29,-16.06,
116159,1739685382.20,82.03,362.43,-14.65,
116560,1739685382.60,96.23,361.67,-14.87,
116959,1739685383.00,107.84,374.28,-19.05,
117361,1739685383.40,100.96,380.82,-21.82,
117759,1739685383.80,127.56,381.90,-24.24,
118162,1739685384.20,132.07,378.10,-20.93,
118560,1739685384.60,134.72,353.88,-6.80,
118960,1739685385.00,151.76,345.50,1.43,
119359,1739685385.40,147.63,317.35,2.09,
119759,1739685385.80,158.59,289.55,0.25,
120159,1739685386.20,165.15,262.21,7.18,
120559,1739685386.60,183.00,235.38,7.58,
120959,1739685387.00,178.89,209.17,8.12,
121359,1739685387.40,187.40,183.63,8.74,
121760,1739685387.80,205.56,158.85,12.11,
122163,1739685388.20,200.38,150.98,12.24,
122560,1739685388.60,191.48,124.36,11.54,
122961,1739685389.00,179.47,99.08,22.70,
123362,1739685389.40,149.72,91.26,33.29,
123787,1739685389.80,136.50,81.27,38.68,
124167,1739685390.20,121.36,69.54,43.31,
124561,1739685390.60,89.56,40.34,41.83,
124961,1739685391.00,75.26,29.77,34.52,
125361,1739685391.40,59.91,18.09,21.75,
125761,1739685391.80,28.68,5.63,8.41,
126161,1739685392.20,0.45,-7.33,3.83,
126560,1739685392.60,-24.88,-20.53,-1.69,
126961,1739685393.00,-32.21,-17.66,-15.88,
127363,1739685393.40,-55.38,-18.15,-29.56,
127761,1739685393.80,-75.57,-37.51,-29.99,
128161,1739685394.20,-77.74,-55.57,-34.04,
128561,1739685394.60,-95.76,-72.25,-26.56,
128961,1739685395.00,-95.68,-71.42,-10.84,
129362,1739685395.40,-127.49,-72.65,-13.86,
129762,1739685395.80,-152.81,-75.53,-14.83,
130162,1739685396.20,-172.24,-79.67,-11.43,
130561,1739685396.60,-186.35,-100.82,-2.78,
130961,1739685397.00,-179.59,-102.95,-1.72,
131361,1739685397.40,-188.20,-121.91,2.17,
131760,1739685397.80,-176.54,-121.72,6.48,
132161,1739685398.20,-180.82,-138.26,11.92,
132562,1739685398.60,-165.37,-151.68,19.93,
132963,1739685399.00,-150.30,-146.08,28.91,
133363,1739685399.40,-135.62,-157.39,28.62,
