GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739685331,-14,-2066993,-170,-4414143
1739685391,-14,-2067048,-170,-4414338
1739685451,-14,-2067098,-170,-4414425
1739685511,-14,-2067027,-170,-4414301
1739685571,-14,-2067019,-170,-4414404
1739685631,-14,-2067145,-170,-4414449
1739685691,-14,-2067079,-170,-4414581
1739685751,-14,-2067066,-170,-4414454
1739685811,-14,-2066994,-170,-4414403
1739685871,-14,-2067021,-170,-4414414
1739685931,-14,-2067062,-170,-4414343
1739685991,-14,-2066957,-170,-4414357
1739686051,-14,-2067013,-170,-4414393
1739686111,-14,-2066982,-170,-4414312
1739686171,-14,-2066939,-170,-4414192
1739686231,-14,-2066962,-170,-4414379
1739686291,-14,-2067074,-170,-4414319
1739686351,-14,-2067303,-170,-4414372
1739686411,-14,-2067442,-170,-4414487
1739686471,-14,-2067571,-170,-4414450
1739686531,-14,-2067850,-170,-4414423
1739686591,-14,-2067614,-170,-4414386
1739686651,-14,-2067610,-170,-4414408
1739686711,-14,-2067215,-170,-4414426
1739686771,-14,-2067025,-170,-4414349
1739686831,-14,-2066978,-170,-4414289
1739686891,-14,-2067111,-170,-4414310
1739686951,-14,-2067108,-170,-4414314
1739687011,-14,-2066993,-170,-4414273
1739687071,-14,-2067119,-170,-4414331
1739687131,-14,-2067217,-170,-4414303
1739687191,-14,-2067265,-170,-4414222
1739687251,-14,-2067221,-170,-4414237
1739687311,-14,-2067249,-170,-4414230
1739687371,-14,-2067104,-170,-4414186
1739687431,-14,-2067170,-170,-4414276
1739687491,-14,-2067182,-170,-4414287
1739687551,-14,-2067207,-170,-4414250
1739687611,-14,-2067301,-170,-4414261
1739687671,-14,-2067270,-170,-4414327
1739687731,-14,-2067035,-170,-4414465
1739687791,-14,-2067095,-170,-4414448
1739687851,-14,-2067090,-170,-4414428
1739687911,-14,-2067039,-170,-4414387
1739687971,-14,-2067287,-170,-4414349
1739688031,-14,-2067145,-170,-4414205
1739688091,-14,-2066991,-170,-4414231
1739688151,-14,-2067140,-170,-4414278
1739688211,-14,-2067350,-170,-4414303
1739688271,-14,-2067352,-170,-4414380
1739688331,-14,-2067371,-170,-4414350
1739688391,-14,-2067180,-170,-4414365
1739688451,-14,-2067035,-170,-4414253
1739688511,-14,-2067213,-170,-4414378
1739688571,-14,-2067098,-170,-4414397
1739688631,-14,-2067178,-170,-4414458
1739688691,-14,-2067090,-170,-4414411
1739688751,-14,-2067012,-170,-4414371
1739688811,-14,-2067147,-170,-4414384
