timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739991817.792,3.51,3.65,3.62,0.002,-0.258,0.261,-273.1,0,0
1739991846.515,2.75,3.66,3.64,0.001,-0.172,0.175,-273.1,0,0
1739992353.425,2.70,3.66,3.65,0.001,-0.103,0.106,-273.1,0,0
1739992860.335,3.18,3.67,3.67,0.001,-0.026,0.029,-273.1,0,0
1739993367.242,3.18,3.67,3.67,0.001,-0.027,0.030,-273.1,0,0
1739993874.152,3.19,3.67,3.67,0.001,-0.026,0.029,-273.1,0,0
1739994381.062,3.26,3.67,3.67,0.001,-0.026,0.029,-273.1,0,0
1739994887.972,3.61,3.67,3.67,0.001,-0.025,0.028,-273.1,0,0
1739995394.878,3.78,3.67,3.67,0.001,-0.025,0.028,-273.1,0,0
1739995901.789,4.41,3.67,3.67,0.002,-0.024,0.027,24.7,0,10
1739996408.699,4.61,3.67,3.67,0.002,-0.025,0.027,25.4,0,10
1739996915.605,4.45,3.67,3.67,0.002,-0.024,0.027,31.3,0,10
1739997422.515,3.94,3.67,3.67,0.002,-0.025,0.028,-273.1,0,0
1739997929.425,3.81,3.67,3.67,0.001,-0.025,0.028,-273.1,0,0
1739998436.335,4.46,3.67,3.67,0.002,-0.024,0.027,27.2,0,10
1739998943.242,4.40,3.67,3.67,0.002,-0.025,0.027,24.9,0,10
1739999450.152,4.74,3.67,3.66,0.003,-0.067,0.069,24.8,0,10
1739999957.062,4.62,3.67,3.65,0.003,-0.075,0.078,25.0,0,10
1740000463.972,4.68,3.67,3.66,0.002,-0.024,0.027,25.2,0,10
1740000970.878,4.80,3.67,3.66,0.003,-0.025,0.027,25.7,0,10
1740001477.789,4.84,3.67,3.66,0.003,-0.024,0.027,-273.1,0,10
1740001984.699,4.69,3.67,3.66,0.003,-0.025,0.027,24.9,0,10
