GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739956951,-14,-2067571,-170,-4414742
1739957011,-14,-2068103,-170,-4414803
1739957071,-14,-2067453,-170,-4414678
1739957131,-14,-2067112,-170,-4414731
1739957191,-14,-2067577,-170,-4414637
1739957251,-14,-2067285,-170,-4414592
1739957311,-14,-2067385,-170,-4414654
1739957371,-14,-2067689,-170,-4414762
1739957431,-14,-2067721,-170,-4414743
1739957491,-14,-2067755,-170,-4414654
1739957551,-14,-2067837,-170,-4414794
1739957611,-14,-2067993,-170,-4414978
1739957671,-14,-2067976,-170,-4414999
1739957731,-14,-2067512,-170,-4414924
1739957791,-14,-2067375,-170,-4414708
1739957851,-14,-2067269,-170,-4414683
1739957911,-14,-2067133,-170,-4414625
1739957971,-14,-2067248,-170,-4414684
1739958031,-14,-2067180,-170,-4414401
1739958091,-14,-2067266,-170,-4414366
1739958151,-14,-2067052,-170,-4414253
1739958211,-14,-2067022,-170,-4414215
1739958271,-14,-2067109,-170,-4414047
1739958331,-14,-2066906,-170,-4414357
1739958391,-14,-2066864,-170,-4414474
1739958451,-14,-2066911,-170,-4414698
1739958511,-14,-2066897,-170,-4414557
1739958571,-14,-2066800,-170,-4414488
1739958631,-14,-2066902,-170,-4414616
1739958691,-14,-2066732,-170,-4414375
1739958751,-14,-2066792,-170,-4414510
1739958811,-14,-2066675,-170,-4414442
1739958871,-14,-2066733,-170,-4414354
1739958931,-14,-2067110,-170,-4414603
1739958991,-14,-2067064,-170,-4414718
1739959051,-14,-2067182,-170,-4414852
1739959111,-14,-2067517,-170,-4415024
1739959171,-14,-2067263,-170,-4414922
1739959231,-14,-2067812,-170,-4415535
1739959291,-14,-2067463,-170,-4415334
1739959351,-14,-2067301,-170,-4414971
1739959411,-14,-2067247,-170,-4414851
1739959471,-14,-2067034,-170,-4414705
1739959531,-14,-2066975,-170,-4414475
1739959591,-14,-2066863,-170,-4414453
1739959651,-14,-2066872,-170,-4414581
1739959711,-14,-2067059,-170,-4414629
1739959771,-14,-2067181,-170,-4414849
1739959831,-14,-2067273,-170,-4415016
1739959891,-14,-2067246,-170,-4414863
1739959951,-14,-2067388,-170,-4414877
1739960011,-14,-2067450,-170,-4414709
1739960071,-14,-2067541,-170,-4414674
1739960131,-14,-2067501,-170,-4414559
1739960191,-14,-2067530,-170,-4414277
1739960251,-14,-2067452,-170,-4414295
1739960311,-14,-2067312,-170,-4414541
1739960371,-14,-2067130,-170,-4414429
1739960431,-14,-2067041,-170,-4414290
1739960491,-14,-2067373,-170,-4414911
1739960551,-14,-2067429,-170,-4415339
1739960611,-14,-2067508,-170,-4415308
1739960671,-14,-2067326,-170,-4414592
1739960731,-14,-2067310,-170,-4414470
1739960791,-14,-2067375,-170,-4414568
1739960851,-14,-2067400,-170,-4414434
1739960911,-14,-2067397,-170,-4414537
1739960971,-14,-2067422,-170,-4414686
1739961031,-14,-2067375,-170,-4414616
1739961091,-14,-2067292,-170,-4414504
1739961151,-14,-2067497,-170,-4414482
1739961211,-14,-2067460,-170,-4414502
1739961271,-14,-2067373,-170,-4414711
1739961331,-14,-2067467,-170,-4414755
1739961391,-14,-2067622,-170,-4414399
1739961451,-14,-2067396,-170,-4414520
1739961511,-14,-2067528,-170,-4414593
1739961571,-14,-2067637,-170,-4414616
1739961631,-14,-2067488,-170,-4414482
1739961691,-14,-2067445,-170,-4414513
1739961751,-14,-2067603,-170,-4414663
1739961811,-14,-2067496,-170,-4414554
1739961871,-14,-2067357,-170,-4414582
1739961931,-14,-2067306,-170,-4414513
1739961991,-14,-2067245,-170,-4414486
1739962051,-14,-2067290,-170,-4414659
1739962111,-14,-2067241,-170,-4414585
1739962171,-14,-2067331,-170,-4414600
1739962231,-14,-2067148,-170,-4414410
1739962291,-14,-2067440,-170,-4414438
1739962351,-14,-2067405,-170,-4414517
1739962411,-14,-2067221,-170,-4414392
1739962471,-14,-2067127,-170,-4414526
1739962531,-14,-2067133,-170,-4414731
1739962591,-14,-2067097,-170,-4414569
1739962651,-14,-2066920,-170,-4414446
1739962711,-14,-2066784,-170,-4414285
1739962771,-14,-2066868,-170,-4414151
1739962831,-14,-2066933,-170,-4414309
1739962891,-14,-2066764,-170,-4414256
1739962951,-14,-2067096,-170,-4414537
1739963011,-14,-2067105,-170,-4414564
1739963071,-14,-2067208,-170,-4414530
1739963131,-14,-2067126,-170,-4414757
1739963191,-14,-2067221,-170,-4415031
1739963251,-14,-2067311,-170,-4414637
1739963311,-14,-2067317,-170,-4414491
1739963371,-14,-2067176,-170,-4414323
1739963431,-14,-2067082,-170,-4414347
1739963491,-14,-2067026,-170,-4414469
1739963551,-14,-2066764,-170,-4414221
1739963611,-14,-2066719,-170,-4414380
1739963671,-14,-2066792,-170,-4414298
1739963731,-14,-2066689,-170,-4414147
1739963791,-14,-2066616,-170,-4414196
1739963851,-14,-2066698,-170,-4414310
1739963911,-14,-2066772,-170,-4414464
1739963971,-14,-2066708,-170,-4414144
1739964031,-14,-2066939,-170,-4414424
1739964091,-14,-2066998,-170,-4414636
1739964151,-14,-2066883,-170,-4414476
1739964211,-14,-2066841,-170,-4414490
1739964271,-14,-2066508,-170,-4413769
1739964331,-14,-2066722,-170,-4414312
1739964391,-14,-2066463,-170,-4413587
1739964451,-14,-2066687,-170,-4414326
1739964511,-14,-2066750,-170,-4414550
1739964571,-14,-2066814,-170,-4414655
1739964631,-14,-2066758,-170,-4414406
1739964691,-14,-2066790,-170,-4414559
1739964751,-14,-2066827,-170,-4414677
1739964811,-14,-2066728,-170,-4414514
1739964871,-14,-2066723,-170,-4414499
1739964931,-14,-2066579,-170,-4414411
1739964991,-14,-2066500,-170,-4414209
1739965051,-14,-2066498,-170,-4414104
1739965111,-14,-2066419,-170,-4413926
1739965171,-14,-2066627,-170,-4414277
1739965231,-14,-2066721,-170,-4414436
1739965291,-14,-2066776,-170,-4414615
1739965351,-14,-2066899,-170,-4414698
1739965411,-14,-2066835,-170,-4414638
1739965471,-14,-2066858,-170,-4414602
1739965531,-14,-2066757,-170,-4414579
1739965591,-14,-2066740,-170,-4414562
1739965651,-14,-2066684,-170,-4414528
1739965711,-14,-2066741,-170,-4414592
1739965771,-14,-2066663,-170,-4414584
1739965831,-14,-2066726,-170,-4414710
1739965891,-14,-2066684,-170,-4414651
1739965951,-14,-2066555,-170,-4414512
1739966011,-14,-2066568,-170,-4414469
1739966071,-14,-2066699,-170,-4414428
1739966131,-14,-2066717,-170,-4414483
1739966191,-14,-2066672,-170,-4414405
1739966251,-14,-2066737,-170,-4414564
1739966311,-14,-2066815,-170,-4414654
1739966371,-14,-2066803,-170,-4414599
1739966431,-14,-2066837,-170,-4414522
1739966491,-14,-2066704,-170,-4414488
1739966551,-14,-2066772,-170,-4414460
1739966611,-14,-2066704,-170,-4414433
1739966671,-14,-2066735,-170,-4414370
1739966731,-14,-2066675,-170,-4414312
1739966791,-14,-2066714,-170,-4414340
1739966851,-14,-2066700,-170,-4414269
1739966911,-14,-2066813,-170,-4414334
1739966971,-14,-2066866,-170,-4414447
1739967031,-14,-2066843,-170,-4414436
1739967091,-14,-2066866,-170,-4414363
1739967151,-14,-2066883,-170,-4414477
1739967211,-14,-2066834,-170,-4414453
1739967271,-14,-2066837,-170,-4414397
1739967331,-14,-2066761,-170,-4414383
1739967391,-14,-2066761,-170,-4414378
1739967451,-14,-2066743,-170,-4414380
1739967511,-14,-2066583,-170,-4414251
1739967571,-14,-2066698,-170,-4414438
1739967631,-14,-2066748,-170,-4414467
1739967691,-14,-2066655,-170,-4414321
1739967751,-14,-2066643,-170,-4414251
1739967811,-14,-2066711,-170,-4414227
1739967871,-14,-2066699,-170,-4414304
1739967931,-14,-2066708,-170,-4414302
1739967991,-14,-2066629,-170,-4414213
1739968051,-14,-2066586,-170,-4414138
1739968111,-14,-2066642,-170,-4414233
1739968171,-14,-2066582,-170,-4414194
1739968231,-14,-2066590,-170,-4414139
1739968291,-14,-2066740,-170,-4414323
1739968351,-14,-2066670,-170,-4414258
1739968411,-14,-2066577,-170,-4414174
1739968471,-14,-2066522,-170,-4414150
1739968531,-14,-2066513,-170,-4414110
1739968591,-14,-2066446,-170,-4414085
1739968651,-14,-2066528,-170,-4414117
1739968711,-14,-2066601,-170,-4414109
1739968771,-14,-2066480,-170,-4414119
1739968831,-14,-2066532,-170,-4414098
1739968891,-14,-2066641,-170,-4414176
1739968951,-14,-2066478,-170,-4414012
1739969011,-14,-2066511,-170,-4414016
1739969071,-14,-2066513,-170,-4414131
1739969131,-14,-2066503,-170,-4414181
1739969191,-14,-2066437,-170,-4414063
1739969251,-14,-2066418,-170,-4414128
1739969311,-14,-2066423,-170,-4414047
1739969371,-14,-2066420,-170,-4413889
