millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
87595,1739944755.80,132.74,378.36,-9.00,
87996,1739944756.20,113.07,351.58,-12.78,
88397,1739944756.60,83.78,266.27,-23.45,
88797,1739944757.00,79.53,216.93,-39.48,
89197,1739944757.40,63.26,165.15,-55.02,
89597,1739944757.80,69.86,177.63,-63.57,
89996,1739944758.20,46.39,109.89,-66.34,
90396,1739944758.60,47.58,61.43,-70.64,
90796,1739944759.00,52.43,29.48,-80.51,
91196,1739944759.40,60.12,-5.46,-87.45,
91596,1739944759.80,53.83,-57.13,-87.36,
92003,1739944760.20,52.54,-72.69,-83.36,
92399,1739944760.60,55.28,-25.66,-78.02,
92795,1739944761.00,77.28,21.54,-84.19,
93196,1739944761.40,82.02,51.90,-85.07,
93597,1739944761.80,88.86,117.31,-79.84,
94000,1739944762.20,129.34,192.40,-79.57,
94397,1739944762.60,179.73,274.40,-76.95,
94797,1739944763.00,204.61,325.96,-87.61,
95197,1739944763.40,208.25,302.50,-93.42,
95598,1739944763.80,210.61,269.05,-91.53,
95998,1739944764.20,211.61,227.99,-90.55,
96398,1739944764.60,211.21,262.74,-85.73,
96797,1739944765.00,209.38,258.90,-82.29,
97198,1739944765.40,206.15,289.98,-79.03,
97598,1739944765.80,185.45,249.71,-72.30,
97997,1739944766.20,166.98,283.18,-76.24,
98399,1739944766.60,150.40,260.28,-86.74,
98799,1739944767.00,135.43,225.32,-92.33,
99201,1739944767.40,105.73,164.08,-83.88,
99602,1739944767.80,64.63,98.88,-69.59,
99999,1739944768.20,47.28,98.69,-57.93,
100399,1739944768.60,65.27,116.48,-52.12,
100799,1739944769.00,62.81,98.91,-51.89,
101199,1739944769.40,59.91,119.29,-41.76,
101599,1739944769.80,56.55,87.18,-47.94,
101998,1739944770.20,52.74,78.70,-44.61,
102398,1739944770.60,48.48,73.04,-39.90,
102799,1739944771.00,43.78,69.58,-34.07,
103201,1739944771.40,-25.66,-96.69,-24.71,
103626,1739944771.80,-65.17,-209.44,-14.42,
104004,1739944772.20,-176.38,-408.06,-2.65,
104404,1739944772.60,-551.69,-1198.12,7.44,
104801,1739944773.00,-470.59,-1026.72,16.88,
105201,1739944773.40,-362.43,-779.14,28.30,
105600,1739944773.80,-346.99,-738.20,47.34,
106002,1739944774.20,-357.48,-747.42,60.44,
106401,1739944774.60,-355.88,-745.44,72.02,
106802,1739944775.00,-360.16,-684.18,74.04,
107201,1739944775.40,-288.11,-526.37,65.59,
107602,1739944775.80,-107.65,-129.08,57.81,
108002,1739944776.20,43.54,173.43,49.77,
108401,1739944776.60,151.97,425.72,52.38,
108802,1739944777.00,239.77,615.06,44.65,
109203,1739944777.40,131.94,420.38,31.43,
109602,1739944777.80,223.27,613.19,30.16,
110002,1739944778.20,279.06,749.99,26.84,
110403,1739944778.60,320.91,870.24,28.19,
110802,1739944779.00,350.24,957.46,35.01,
111204,1739944779.40,400.59,1032.02,31.74,
111602,1739944779.80,417.89,1092.53,32.93,
112002,1739944780.20,455.96,1171.95,33.16,
112402,1739944780.60,477.01,1213.97,24.54,
112802,1739944781.00,499.28,1240.23,12.54,
113203,1739944781.40,473.01,1201.27,-1.01,
113602,1739944781.80,439.75,1141.95,-3.03,
114007,1739944782.20,368.63,999.48,-8.24,
114405,1739944782.60,348.40,939.90,2.88,
114804,1739944783.00,304.39,881.06,17.93,
115204,1739944783.40,273.77,821.43,20.58,
115602,1739944783.80,237.84,744.67,7.87,
116003,1739944784.20,85.24,390.54,8.12,
116403,1739944784.60,18.89,232.34,31.25,
116803,1739944785.00,-25.41,151.41,42.72,
117203,1739944785.40,-19.16,181.59,52.57,
117605,1739944785.80,-53.15,103.60,51.91,
118006,1739944786.20,-54.52,86.30,50.79,
118404,1739944786.60,-94.22,-13.23,27.81,
118802,1739944787.00,-180.02,-227.27,16.34,
119204,1739944787.40,-236.61,-364.51,-3.57,
119604,1739944787.80,-220.22,-339.10,-30.72,
120003,1739944788.20,-290.35,-494.96,-51.46,
