timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739683809.414,3.99,4.00,3.94,0.002,-0.463,0.466,-273.1,0,0
1739683838.136,4.20,4.00,3.95,0.001,-0.448,0.449,-273.1,0,0
1739683866.863,4.06,4.02,3.98,0.001,-0.299,0.302,-273.1,0,0
1739683895.585,4.01,4.01,3.97,0.001,-0.323,0.326,-273.1,0,0
1739683924.312,3.99,4.02,3.99,0.001,-0.253,0.257,-273.1,0,0
1739683953.085,3.87,4.02,4.00,0.001,-0.222,0.224,-273.1,0,0
1739683981.761,3.81,4.02,4.00,0.001,-0.231,0.234,-273.1,0,0
1739684010.488,3.75,4.00,3.95,0.001,-0.447,0.450,-273.1,0,0
1739684039.210,3.30,3.99,3.93,0.001,-0.505,0.507,-273.1,0,0
1739684067.937,2.14,3.99,3.93,0.001,-0.510,0.513,-273.1,0,0
1739684096.660,1.15,4.01,3.97,0.000,-0.319,0.321,-273.1,0,0
1739684timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739948292.750,0.06,3.84,3.81,0.000,-0.218,0.220,0.0,0,0
1739948321.472,0.06,3.84,3.82,0.000,-0.173,0.175,0.0,0,0
1739948350.199,0.06,3.84,3.81,0.000,-0.202,0.205,0.0,0,0
1739948378.925,0.06,3.84,3.81,0.000,-0.223,0.225,0.0,0,0
1739948407.648,0.06,3.84,3.82,0.000,-0.193,0.196,0.0,0,0
1739948436.375,0.06,3.84,3.81,0.000,-0.197,0.199,0.0,0,0
1739948465.097,0.06,3.84,3.82,0.000,-0.168,0.171,0.0,0,0
1739948493.847,0.06,3.84,3.81,0.000,-0.200,0.203,0.0,0,0
1739948522.550,0.06,3.84,3.83,0.000,-0.145,0.147,0.0,0,0
1739948551.273,0.06,3.84,3.82,0.000,-0.147,0.150,0.0,0,0
1739948579.996,0.06,3.85,3.83,0.000,-0.129,0.132,0.0,0,0
1739948608.722,0.06,3.84,3.83,0.000,-0.140,0.143,0.0,0,0
1739948637.449,0.06,3.85,3.83,0.000,-0.134,0.137,0.0,0,0
1739948666.171,0.06,3.84,3.82,0.000,-0.161,0.164,0.0,0,0
1739948694.898,0.06,3.84,3.83,0.000,-0.135,0.138,0.0,0,0
1739948723.621,0.06,3.84,3.82,0.000,-0.141,0.144,0.0,0,0
1739948752.347,0.06,3.84,3.83,0.000,-0.129,0.132,0.0,0,0
1739948781.070,0.06,3.84,3.83,0.000,-0.140,0.143,0.0,0,0
1739948809.796,0.06,3.85,3.83,0.000,-0.129,0.132,0.0,0,0
1739948838.519,0.06,3.84,3.82,0.000,-0.146,0.149,0.0,0,0
1739948867.246,0.06,3.84,3.83,0.000,-0.129,0.132,0.0,0,0
1739948895.972,0.06,3.84,3.82,0.000,-0.143,0.146,0.0,0,0
1739948924.695,0.06,3.84,3.82,0.000,-0.155,0.158,0.0,0,0
1739948953.421,0.06,3.84,3.82,0.000,-0.161,0.164,0.0,0,0
1739948982.144,0.06,3.84,3.82,0.000,-0.150,0.152,0.0,0,0
1739949010.871,0.06,3.84,3.82,0.000,-0.150,0.153,0.0,0,0
1739949039.593,0.06,3.84,3.82,0.000,-0.156,0.158,0.0,0,0
1739949068.320,0.06,3.84,3.82,0.000,-0.129,0.132,0.0,0,0
1739949097.046,0.06,3.84,3.82,0.000,-0.158,0.160,0.0,0,0
1739949125.769,0.06,3.83,3.81,0.000,-0.218,0.224,0.0,0,0
1739949154.496,0.06,3.84,3.82,0.000,-0.141,0.144,0.0,0,0
1739949183.218,0.06,3.84,3.82,0.000,-0.129,0.132,0.0,0,0
1739949211.945,0.06,3.84,3.82,0.000,-0.154,0.156,0.0,0,0
1739949240.714,0.06,3.84,3.82,0.000,-0.129,0.132,0.0,0,0
1739949269.394,0.06,3.84,3.82,0.000,-0.141,0.144,0.0,0,0
1739949298.117,0.06,3.84,3.82,0.000,-0.129,0.132,0.0,0,0
1739949326.843,0.06,3.84,3.82,0.000,-0.141,0.144,0.0,0,0
1739949355.570,0.06,3.84,3.82,0.000,-0.129,0.132,0.0,0,0
1739949384.292,0.06,3.84,3.82,0.000,-0.141,0.143,0.0,0,0
1739949413.019,0.06,3.84,3.82,0.000,-0.129,0.132,0.0,0,0
1739949441.742,0.06,3.84,3.82,0.000,-0.141,0.143,0.0,0,0
1739949470.468,0.06,3.84,3.82,0.000,-0.130,0.132,0.0,0,0
1739949499.191,0.06,3.84,3.82,0.000,-0.142,0.145,0.0,0,0
1739949527.917,0.06,3.84,3.82,0.000,-0.152,0.156,0.0,0,0
1739949556.656,0.06,3.84,3.82,0.000,-0.150,0.152,0.0,0,0
1739949585.367,0.06,3.84,3.82,0.000,-0.131,0.134,0.0,0,0
1739949614.093,0.06,3.84,3.82,0.000,-0.138,0.141,0.0,0,0
1739949642.816,0.06,3.84,3.82,0.000,-0.131,0.134,0.0,0,0
1739949671.542,0.06,3.84,3.82,0.000,-0.134,0.136,0.0,0,0
1739949700.265,0.06,3.84,3.82,0.000,-0.137,0.140,0.0,0,0
1739949728.992,0.06,3.84,3.82,0.000,-0.130,0.133,0.0,0,0
1739949757.714,0.06,3.84,3.82,0.000,-0.140,0.143,0.0,0,0
1739949786.441,0.06,3.84,3.82,0.000,-0.129,0.131,0.0,0,0
1739949815.167,0.06,3.84,3.82,0.000,-0.155,0.157,0.0,0,0
1739949843.890,0.06,3.84,3.82,0.000,-0.146,0.148,0.0,0,0
1739949872.617,0.06,3.84,3.82,0.000,-0.162,0.166,0.0,0,0
1739949901.339,0.06,3.84,3.82,0.000,-0.157,0.160,0.0,0,0
1739949930.066,0.06,3.84,3.82,0.000,-0.168,0.171,0.0,0,0
1739949958.789,0.06,3.84,3.82,0.000,-0.150,0.153,0.0,0,0
