GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1739944705,-14,-2065869,-170,-4413429
1739944765,-14,-2065492,-170,-4413450
1739944825,-14,-2066608,-170,-4414032
1739944885,-14,-2066136,-170,-4413698
1739944945,-14,-2066892,-170,-4414049
1739945005,-14,-2067020,-170,-4414251
1739945065,-14,-2067190,-170,-4414377
1739945125,-14,-2067714,-170,-4414639
1739945185,-14,-2067464,-170,-4414682
1739945245,-14,-2067267,-170,-4414563
1739945305,-14,-2067068,-170,-4414417
1739945365,-14,-2066800,-170,-4414414
1739945425,-14,-2067121,-170,-4414516
1739945485,-14,-2067350,-170,-4414586
1739945545,-14,-2068063,-170,-4414862
1739945605,-14,-2067656,-170,-4414734
1739945665,-14,-2067364,-170,-4414647
1739945725,-14,-2067926,-170,-4414909
1739945785,-14,-2067761,-170,-4414793
1739945845,-14,-2067829,-170,-4414827
1739945905,-14,-2068003,-170,-4415008
1739945965,-14,-2067634,-170,-4414849
1739946025,-14,-2067580,-170,-4414826
1739946085,-14,-2067871,-170,-4414898
1739946145,-14,-2067821,-170,-4414789
1739946205,-14,-2067814,-170,-4414747
1739946265,-14,-2067993,-170,-4414872
1739946325,-14,-2067663,-170,-4414741
1739946385,-14,-2067573,-170,-4414767
1739946445,-14,-2067641,-170,-4414795
1739946505,-14,-2067763,-170,-4414768
1739946565,-14,-2068024,-170,-4414864
1739946625,-14,-2068087,-170,-4414824
1739946685,-14,-2068018,-170,-4414804
1739946745,-14,-2067994,-170,-4414819
1739946805,-14,-2068134,-170,-4414880
1739946865,-14,-2068213,-170,-4414936
1739946925,-14,-2068116,-170,-4414957
1739946985,-14,-2067520,-170,-4414698
1739947045,-14,-2067554,-170,-4414730
1739947105,-14,-2067553,-170,-4414744
1739947165,-14,-2067509,-170,-4414702
1739947225,-14,-2067609,-170,-4414745
1739947285,-14,-2067629,-170,-4414722
1739947345,-14,-2067759,-170,-4414773
1739947405,-14,-2067682,-170,-4414840
1739947465,-14,-2067521,-170,-4414802
1739947525,-14,-2067627,-170,-4414911
1739947585,-14,-2067691,-170,-4415002
1739947645,-14,-2067565,-170,-4414872
1739947705,-14,-2067568,-170,-4414852
1739947765,-14,-2067392,-170,-4414744
1739947825,-14,-2067312,-170,-4414731
1739947885,-14,-2067500,-170,-4414886
1739947945,-14,-2067529,-170,-4414956
1739948005,-14,-2067480,-170,-4414952
1739948065,-14,-2067391,-170,-4414873
1739948125,-14,-2067218,-170,-4414764
1739948185,-14,-2067192,-170,-4414699
1739948245,-14,-2067219,-170,-4414677
