timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
24703t,3.21,4.00,3.94,0.001,-0.503,0.506,0.0,0,0
53433t,3.13,4.01,3.96,0.001,-0.396,0.399,0.0,0,0
timestamp(ticks/UTC),solar(V),batt(V),bus(V),solar(I),batt(I),bus(I),batt_temp(C),chg_stat,chg_fault
1739944721.585,0.92,3.85,3.82,0.000,-0.258,0.260,0.0,0,0
1739944750.312,0.86,3.85,3.82,0.000,-0.216,0.219,0.0,0,0
1739944779.039,0.79,3.85,3.82,0.000,-0.244,0.247,0.0,0,0
1739944807.761,0.72,3.85,3.82,0.000,-0.249,0.252,0.0,0,0
1739944836.488,0.65,3.85,3.83,0.000,-0.179,0.182,0.0,0,0
1739944865.210,0.58,3.85,3.83,0.000,-0.197,0.200,0.0,0,0
1739944893.960,0.50,3.85,3.83,0.000,-0.181,0.184,0.0,0,0
1739944922.660,0.44,3.86,3.84,0.000,-0.138,0.141,0.0,0,0
1739944951.386,0.37,3.86,3.84,0.000,-0.128,0.131,0.0,0,0
1739944980.113,0.32,3.86,3.84,0.000,-0.138,0.141,0.0,0,0
1739945008.835,0.27,3.86,3.84,0.000,-0.128,0.131,0.0,0,0
1739945037.562,0.23,3.86,3.84,0.000,-0.138,0.141,0.0,0,0
1739945066.285,0.20,3.86,3.84,0.000,-0.128,0.131,0.0,0,0
1739945095.011,0.17,3.85,3.83,0.000,-0.192,0.194,0.0,0,0
1739945123.734,0.15,3.85,3.83,0.000,-0.202,0.204,0.0,0,0
1739945152.460,0.13,3.85,3.82,0.000,-0.231,0.233,0.0,0,0
1739945181.183,0.12,3.84,3.81,0.000,-0.268,0.271,0.0,0,0
1739945209.910,0.12,3.84,3.81,0.000,-0.243,0.246,0.0,0,0
1739945238.636,0.11,3.84,3.81,0.000,-0.254,0.256,0.0,0,0
1739945267.359,0.10,3.84,3.80,0.000,-0.308,0.311,0.0,0,0
1739945296.085,0.10,3.85,3.83,0.000,-0.194,0.197,0.0,0,0
1739945324.808,0.09,3.85,3.82,0.000,-0.213,0.216,0.0,0,0
