timestamp (ticks/UTC),temperature (C),humidity (%RH)
1739683848.101,25.64,58.15
1739683908.089,25.93,57.92
1739683968.078,26.12,57.68
1739684028.070,26.29,57.48
timestamp (ticks/UTC),temperature (C),humidity (%RH)
1739948328.871,29.97,40.70
1739948388.863,30.00,40.76
1739948448.851,30.05,40.79
1739948508.839,30.10,40.76
1739948568.828,30.13,40.63
1739948628.820,30.12,40.47
1739948688.808,30.09,40.36
1739948748.796,30.05,40.29
1739948808.785,30.02,40.22
1739948868.777,29.98,40.18
1739948928.765,29.94,40.14
1739948988.753,29.90,40.10
1739949048.742,29.86,40.06
1739949108.734,29.82,40.04
1739949168.722,29.81,40.10
1739949228.710,29.79,40.04
1739949288.699,29.75,39.99
1739949348.687,29.71,39.95
1739949408.679,29.67,39.93
1739949468.667,29.63,39.92
1739949528.656,29.58,39.90
1739949588.644,29.54,39.90
1739949648.636,29.51,39.90
1739949708.625,29.47,39.90
1739949768.613,29.43,39.90
1739949828.601,29.40,39.90
1739949888.593,29.36,39.90
1739949948.582,29.33,39.90
1739950008.570,29.30,39.90
1739950068.558,29.27,39.90
1739950128.550,29.24,39.90
1739950188.539,29.21,39.90
1739950248.527,29.18,39.90
1739950308.515,29.16,39.90
1739950368.507,29.13,39.90
1739950428.496,29.10,39.90
1739950488.484,29.08,39.90
1739950548.472,29.05,39.90
1739950608.464,29.03,39.91
1739950668.453,29.01,39.91
1739950728.441,28.99,39.91
1739950788.437,28.97,39.92
1739950848.421,28.94,39.92
1739950908.414,28.93,39.93
1739950968.398,28.91,39.93
1739951028.394,28.89,39.93
1739951088.378,28.87,39.93
1739951148.371,28.86,39.93
1739951208.355,28.84,39.94
1739951268.351,28.83,39.94
1739951328.335,28.82,39.95
1739951388.343,28.80,39.95
1739951448.312,28.79,39.96
1739951508.308,28.78,39.96
1739951568.292,28.77,39.96
1739951628.281,28.76,39.96
1739951688.269,28.75,39.96
1739951748.257,28.74,39.96
1739951808.250,28.73,39.96
1739951868.238,28.72,39.96
1739951928.226,28.71,39.96
1739951988.214,28.73,40.06
1739952048.207,28.74,40.01
1739952108.195,28.74,39.96
1739952168.183,28.72,39.93
1739952228.171,28.70,39.92
1739952288.164,28.69,39.90
1739952348.152,28.67,39.90
1739952408.140,28.66,39.90
1739952468.128,28.64,39.90
1739952528.121,28.63,39.90
1739952588.109,28.61,39.90
1739952648.097,28.60,39.90
1739952708.085,28.59,39.91
1739952768.078,28.58,39.91
1739952828.066,28.57,39.91
1739952888.054,28.57,39.90
1739952948.042,28.55,39.90
1739953008.035,28.54,39.90
1739953068.023,28.53,39.89
1739953128.011,28.52,39.88
1739953188.000,28.51,39.87
1739953247.992,28.49,39.87
1739953307.980,28.48,39.87
1739953367.968,28.47,39.86
1739953427.957,28.46,39.86
1739953487.945,28.44,39.84
1739953547.937,28.43,39.84
1739953607.925,28.42,39.84
1739953667.914,28.41,39.84
1739953727.902,28.40,39.84
1739953787.894,28.39,39.84
1739953847.882,28.37,39.84
1739953907.871,28.36,39.84
1739953967.859,28.35,39.84
1739954027.851,28.34,39.84
1739954087.839,28.33,39.84
1739954147.828,28.32,39.84
1739954207.816,28.31,39.84
1739954267.808,28.30,39.84
1739954327.796,28.29,39.84
1739954387.785,28.28,39.84
1739954447.773,28.27,39.84
1739954507.765,28.26,39.84
1739954567.753,28.26,39.84
1739954627.742,28.25,39.84
1739954687.730,28.25,39.84
1739954747.722,28.24,39.84
1739954807.710,28.23,39.84
1739954867.699,28.23,39.84
1739954927.687,28.22,39.84
1739954987.679,28.21,39.85
1739955047.667,28.21,39.86
1739955107.656,28.20,39.86
1739955167.644,28.20,39.86
1739955227.636,28.19,39.86
1739955287.625,28.19,39.87
1739955347.613,28.18,39.87
1739955407.601,28.18,39.87
1739955467.593,28.18,39.87
1739955527.582,28.18,39.90
1739955587.570,28.20,39.92
1739955647.558,28.20,39.89
1739955707.550,28.20,39.88
1739955767.539,28.20,39.87
1739955827.527,28.20,39.87
1739955887.515,28.20,39.87
1739955947.507,28.20,39.86
1739956007.496,28.20,39.86
1739956067.484,28.19,39.86
1739956127.472,28.20,39.87
1739956187.464,28.22,39.95
1739956247.453,28.24,39.90
1739956307.441,28.25,39.87
1739956367.429,28.25,39.84
1739956427.421,28.25,39.83
1739956487.410,28.25,39.82
1739956547.398,28.25,39.81
1739956607.386,28.25,39.80
1739956667.378,28.24,39.80
1739956727.367,28.24,39.80
1739956787.355,28.24,39.79
1739956847.343,28.24,39.78
1739956907.335,28.23,39.78
1739956967.324,28.23,39.78
1739957027.312,28.23,39.78
1739957087.300,28.22,39.78
1739957147.292,28.22,39.78
1739957207.281,28.22,39.77
1739957267.269,28.22,39.76
1739957327.257,28.22,39.76
1739957387.250,28.22,39.75
1739957447.238,28.22,39.75
1739957507.226,28.22,39.75
1739957567.214,28.22,39.75
1739957627.207,28.22,39.74
1739957687.195,28.21,39.75
1739957747.183,28.21,39.74
1739957807.171,28.21,39.74
1739957867.160,28.21,39.74
1739957927.152,28.21,39.74
1739957987.140,28.21,39.73
1739958047.128,28.21,39.73
1739958107.117,28.21,39.72
1739958167.109,28.21,39.72
1739958227.097,28.21,39.72
1739958287.085,28.21,39.71
1739958347.074,28.21,39.71
1739958407.066,28.21,39.71
1739958467.054,28.21,39.70
1739958527.042,28.21,39.70
1739958587.031,28.21,39.69
1739958647.023,28.21,39.68
1739958707.011,28.21,39.68
1739958767.000,28.21,39.67
1739958826.988,28.21,39.67
1739958886.980,28.21,39.66
1739958946.968,28.21,39.66
1739959006.957,28.21,39.65
1739959066.945,28.20,39.65
1739959126.937,28.20,39.66
1739959186.925,28.22,39.70
1739959246.914,28.23,39.67
1739959306.902,28.23,39.65
1739959366.894,28.23,39.63
1739959426.882,28.22,39.63
1739959486.871,28.22,39.62
1739959546.859,28.22,39.62
1739959606.851,28.22,39.60
1739959666.839,28.21,39.59
1739959726.828,28.20,39.57
1739959786.816,28.20,39.56
1739959846.808,28.19,39.54
1739959906.796,28.18,39.53
1739959966.785,28.18,39.52
1739960026.773,28.17,39.51
1739960086.765,28.16,39.50
1739960146.753,28.15,39.49
1739960206.742,28.14,39.48
1739960266.730,28.13,39.47
1739960326.722,28.12,39.47
1739960386.710,28.11,39.47
1739960446.699,28.10,39.47
1739960506.687,28.09,39.47
1739960566.679,28.08,39.47
1739960626.667,28.07,39.47
1739960686.656,28.06,39.47
1739960746.644,28.05,39.47
1739960806.636,28.04,39.47
1739960866.625,28.03,39.47
1739960926.617,28.03,39.47
1739960986.601,28.02,39.47
1739961046.597,28.02,39.47
1739961106.582,28.01,39.47
1739961166.574,28.01,39.47
1739961226.558,28.00,39.48
1739961286.554,27.99,39.49
1739961346.539,27.99,39.50
1739961406.531,27.99,39.50
1739961466.515,27.98,39.50
1739961526.511,27.98,39.50
1739961586.496,27.97,39.50
1739961646.488,27.97,39.50
1739961706.472,27.97,39.51
1739961766.464,27.97,39.52
1739961826.453,27.97,39.53
1739961886.441,27.97,39.52
1739961946.429,27.97,39.51
1739962006.421,27.97,39.50
1739962066.410,27.97,39.49
1739962126.398,27.96,39.47
1739962186.386,27.96,39.46
1739962246.375,27.95,39.44
1739962306.367,27.94,39.41
1739962366.355,27.93,39.39
1739962426.343,27.92,39.37
1739962486.332,27.90,39.35
1739962546.324,27.88,39.34
1739962606.312,27.87,39.32
1739962666.300,27.85,39.32
1739962726.289,27.84,39.34
1739962786.281,27.86,39.46
1739962846.269,27.91,39.55
1739962906.257,27.98,39.60
1739962966.246,28.02,39.50
1739963026.238,28.02,39.35
1739963086.226,27.99,39.26
1739963146.214,27.97,39.21
1739963206.203,27.93,39.18
1739963266.195,27.90,39.17
1739963326.183,27.87,39.16
1739963386.171,27.85,39.16
1739963446.164,27.82,39.16
1739963506.152,27.80,39.17
1739963566.140,27.80,39.28
1739963626.128,27.84,39.35
1739963686.117,27.85,39.26
1739963746.109,27.83,39.20
1739963806.097,27.81,39.17
1739963866.085,27.79,39.15
1739963926.074,27.77,39.14
1739963986.066,27.74,39.14
1739964046.054,27.72,39.14
1739964106.042,27.70,39.16
1739964166.031,27.68,39.16
1739964226.023,27.67,39.17
1739964286.011,27.65,39.18
