epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0.00,3,DATA,SOFT2,21531,2553
0.00,1,DATA,SOFT2,21637,2951
0.00,2,DATA,SOFT2,22030,2937
0.00,3,DATA,SOFT2,22031,2553
0.00,1,DATA,SOFT2,22137,2951
0.00,2,DATA,SOFT2,22530,2937
0.00,3,DATA,SOFT2,22531,2553
0.00,1,DATA,SOFT2,22637,2952
0.00,2,DATA,SOFT2,23030,2937
0.00,3,DATA,SOFT2,23031,2553
0.00,1,DATA,SOFT2,23137,2951
0.00,2,DATA,SOFT2,23530,2937
0.00,3,DATA,SOFT2,23531,2553
0.00,1,DATA,SOFT2,23637,2951
0.00,2,DATA,SOFT2,24030,2937
0.00,3,DATA,SOFT2,24031,2553
0.00,1,DATA,SOFT2,24137,2951
0.00,2,DATA,SOFT2,24530,2937
0.00,3,DATA,SOFT2,24531,2553
0.00,1,DATA,SOFT2,24637,2951
0.00,2,DATA,SOFT2,25030,2937
0.00,3,DATA,SOFT2,25031,2554
0.00,1,DATA,SOFT2,25137,2952
0.00,2,DATA,SOFT2,25530,2937
0.00,0,BSYS,27616,INFO,etmark 0
0.00,3,DATA,SOFT2,25531,2554
0.00,1,DATA,SOFT2,25637,2952
0.00,2,DATA,SOFT2,26030,2937
0.00,3,DATA,SOFT2,26031,2554
0.00,1,DATA,SOFT2,26137,2951
0.00,2,DATA,SOFT2,26530,2937
0.00,3,DATA,SOFT2,26531,2554
0.00,1,DATA,SOFT2,26637,2951
0.00,2,DATA,SOFT2,27030,2937
0.00,3,DATA,SOFT2,27031,2554
0.00,1,DATA,SOFT2,27137,2951
0.00,2,DATA,SOFT2,27530,2937
0.00,3,DATA,SOFT2,27531,2554
0.00,1,DATA,SOFT2,27637,2951
0.00,2,DATA,SOFT2,28030,2937
0.00,1,DATA,SOFT2,28137,2951
0.00,3,DATA,SOFT2,28031,2555
0.00,2,DATA,SOFT2,28530,2936
0.00,3,DATA,SOFT2,28531,2554
0.00,1,DATA,SOFT2,28637,2951
0.00,2,DATA,SOFT2,29030,2937
0.00,3,DATA,SOFT2,29031,2555
0.00,1,DATA,SOFT2,29137,2951
0.00,2,DATA,SOFT2,29530,2937
0.00,3,DATA,SOFT2,29531,2555
0.00,1,DATA,SOFT2,29637,2951
0.00,2,DATA,SOFT2,30030,2937
0.00,3,DATA,SOFT2,30031,2555
0.00,1,DATA,SOFT2,30137,2951
0.00,2,DATA,SOFT2,30530,2937
0.00,3,DATA,SOFT2,30531,2555
0.00,1,DATA,SOFT2,30637,2951
0.00,2,DATA,SOFT2,31030,2937
0.00,3,DATA,SOFT2,31031,2555
0.00,1,DATA,SOFT2,31137,2951
0.00,2,DATA,SOFT2,31530,2937
0.00,3,DATA,SOFT2,31531,2555
0.00,1,DATA,SOFT2,31637,2952
0.00,2,DATA,SOFT2,32030,2936
0.00,3,DATA,SOFT2,32031,2555
0.00,1,DATA,SOFT2,32137,2952
0.00,2,DATA,SOFT2,32530,2937
0.00,3,DATA,SOFT2,32531,2556
0.00,1,DATA,SOFT2,32637,2951
0.00,2,DATA,SOFT2,33030,2937
0.00,3,DATA,SOFT2,33031,2556
0.00,1,DATA,SOFT2,33137,2951
0.00,2,DATA,SOFT2,33530,2937
0.00,3,DATA,SOFT2,33531,2555
0.00,1,DATA,SOFT2,33637,2951
0.00,2,DATA,SOFT2,34030,2937
0.00,3,DATA,SOFT2,34031,2556
0.00,1,DATA,SOFT2,34137,2951
0.00,2,DATA,SOFT2,34530,2937
0.00,3,DATA,SOFT2,34531,2556
0.00,1,DATA,SOFT2,34637,2951
0.00,2,DATA,SOFT2,35030,2937
0.00,3,DATA,SOFT2,35031,2556
0.00,1,DATA,SOFT2,35137,2951
0.00,2,DATA,SOFT2,35530,2937
0.00,0,BSYS,37616,INFO,etmark 0
0.00,3,DATA,SOFT2,35531,2556
0.00,1,DATA,SOFT2,35637,2951
0.00,2,DATA,SOFT2,36030,2937
0.00,3,DATA,SOFT2,36031,2556
0.00,1,DATA,SOFT2,36137,2951
0.00,2,DATA,SOFT2,36530,2937
0.00,3,DATA,SOFT2,36531,2556
0.00,1,DATA,SOFT2,36637,2951
0.00,2,DATA,SOFT2,37030,2937
0.00,3,DATA,SOFT2,37031,2556
0.00,1,DATA,SOFT2,37137,2951
0.00,2,DATA,SOFT2,37530,2937
0.00,3,DATA,SOFT2,37531,2556
0.00,1,DATA,SOFT2,37637,2951
0.00,2,DATA,SOFT2,38030,2937
0.00,3,DATA,SOFT2,38031,2556
0.00,1,DATA,SOFT2,38137,2951
0.00,2,DATA,SOFT2,38530,2937
0.00,3,DATA,SOFT2,38531,2557
0.00,1,DATA,SOFT2,38637,2951
0.00,2,DATA,SOFT2,39030,2937
0.00,3,DATA,SOFT2,39031,2557
0.00,1,DATA,SOFT2,39137,2951
0.00,2,DATA,SOFT2,39530,2937
0.00,3,DATA,SOFT2,39531,2557
0.00,1,DATA,SOFT2,39637,2951
0.00,2,DATA,SOFT2,40030,2937
0.00,3,DATA,SOFT2,40031,2557
0.00,1,DATA,SOFT2,40137,2951
0.00,2,DATA,SOFT2,40530,2937
0.00,3,DATA,SOFT2,40531,2556
0.00,1,DATA,SOFT2,40637,2951
0.00,2,DATA,SOFT2,41030,2937
0.00,3,DATA,SOFT2,41031,2557
0.00,1,DATA,SOFT2,41137,2951
0.00,2,DATA,SOFT2,41530,2937
0.00,3,DATA,SOFT2,41531,2557
0.00,1,DATA,SOFT2,41637,2952
0.00,2,DATA,SOFT2,42030,2937
0.00,3,DATA,SOFT2,42031,2557
0.00,1,DATA,SOFT2,42137,2951
0.00,2,DATA,SOFT2,42530,2937
0.00,3,DATA,SOFT2,42531,2557
0.00,1,DATA,SOFT2,42637,2951
0.00,2,DATA,SOFT2,43030,2937
0.00,3,DATA,SOFT2,43031,2557
0.00,1,DATA,SOFT2,43137,2951
0.00,2,DATA,SOFT2,43530,2937
0.00,3,DATA,SOFT2,43531,2557
0.00,1,DATA,SOFT2,43637,2951
0.00,2,DATA,SOFT2,44030,2937
0.00,3,DATA,SOFT2,44031,2557
0.00,1,DATA,SOFT2,44137,2951
0.00,2,DATA,SOFT2,44530,2937
0.00,3,DATA,SOFT2,44531,2557
0.00,1,DATA,SOFT2,44637,2951
0.00,2,DATA,SOFT2,45030,2937
0.00,3,DATA,SOFT2,45031,2558
0.00,1,DATA,SOFT2,45137,2951
0.00,2,DATA,SOFT2,45530,2937
0.00,0,BSYS,47617,INFO,etmark 0
0.00,3,DATA,SOFT2,45531,2558
0.00,1,DATA,SOFT2,45637,2951
0.00,2,DATA,SOFT2,46030,2937
0.00,3,DATA,SOFT2,46031,2558
0.00,1,DATA,SOFT2,46137,2951
0.00,2,DATA,SOFT2,46530,2937
0.00,3,DATA,SOFT2,46531,2557
0.00,1,DATA,SOFT2,46637,2951
0.00,2,DATA,SOFT2,47030,2937
0.00,3,DATA,SOFT2,47031,2558
0.00,1,DATA,SOFT2,47137,2951
0.00,2,DATA,SOFT2,47530,2937
0.00,3,DATA,SOFT2,47531,2558
0.00,1,DATA,SOFT2,47637,2951
0.00,2,DATA,SOFT2,48030,2937
0.00,3,DATA,SOFT2,48031,2558
0.00,1,DATA,SOFT2,48137,2951
0.00,2,DATA,SOFT2,48530,2936
0.00,3,DATA,SOFT2,48531,2558
0.00,1,DATA,SOFT2,48637,2951
0.00,2,DATA,SOFT2,49030,2936
0.00,3,DATA,SOFT2,49031,2558
0.00,1,DATA,SOFT2,49137,2951
0.00,2,DATA,SOFT2,49530,2937
0.00,3,DATA,SOFT2,49531,2558
0.00,1,DATA,SOFT2,49637,2951
